DrugBank_ID,Drug_Name,Gene
DB00001,Lepirudin,F2
DB00002,Cetuximab,EGFR
DB00002,Cetuximab,FCGR3B
DB00002,Cetuximab,C1QA
DB00002,Cetuximab,C1QB
DB00002,Cetuximab,C1QC
DB00002,Cetuximab,FCGR3A
DB00002,Cetuximab,FCGR1A
DB00002,Cetuximab,FCGR2A
DB00003,Dornase alfa,DNASE1
DB00004,Denileukin diftitox,IL2RA
DB00004,Denileukin diftitox,IL2RB
DB00005,Etanercept,TNF
DB00005,Etanercept,LTA
DB00005,Etanercept,FCGR1A
DB00005,Etanercept,FCGR2A
DB00005,Etanercept,FCGR2B
DB00005,Etanercept,FCGR2C
DB00005,Etanercept,FCGR3A
DB00005,Etanercept,FCGR3B
DB00005,Etanercept,C1QA
DB00006,Bivalirudin,F2
DB00007,Leuprolide,GNRHR
DB00007,Leuprolide,GNRH1
DB00008,Peginterferon alfa-2a,IFNAR2
DB00008,Peginterferon alfa-2a,IFNAR1
DB00008,Peginterferon alfa-2a,IFNA2
DB00009,Alteplase,PLG
DB00009,Alteplase,FGA
DB00009,Alteplase,FGG
DB00009,Alteplase,SERPINE1
DB00010,Sermorelin,GHRHR
DB00011,Interferon alfa-n1,IFNAR1
DB00011,Interferon alfa-n1,IFNAR2
DB00012,Darbepoetin alfa,EPOR
DB00013,Urokinase,PLG
DB00013,Urokinase,PLAUR
DB00013,Urokinase,SERPINE1
DB00013,Urokinase,SERPINB2
DB00013,Urokinase,PLAU
DB00013,Urokinase,SERPINA5
DB00013,Urokinase,LRP2
DB00013,Urokinase,ST14
DB00013,Urokinase,NID1
DB00014,Goserelin,LHCGR
DB00014,Goserelin,GNRHR
DB00014,Goserelin,GNRH1
DB00015,Reteplase,PLG
DB00015,Reteplase,FGA
DB00015,Reteplase,SERPINE1
DB00016,Erythropoietin,EPOR
DB00017,Salmon calcitonin,CALCR
DB00018,Interferon alfa-n3,IFNAR1
DB00018,Interferon alfa-n3,IFNAR2
DB00019,Pegfilgrastim,CSF3R
DB00020,Sargramostim,CSF2RA
DB00020,Sargramostim,IL3RA
DB00020,Sargramostim,CSF2RB
DB00020,Sargramostim,SDC2
DB00022,Peginterferon alfa-2b,IFNAR1
DB00022,Peginterferon alfa-2b,IFNAR2
DB00022,Peginterferon alfa-2b,IFNA2
DB00024,Thyrotropin alfa,TSHR
DB00025,"Antihemophilic factor, human recombinant",F10
DB00025,"Antihemophilic factor, human recombinant",F9
DB00025,"Antihemophilic factor, human recombinant",VWF
DB00025,"Antihemophilic factor, human recombinant",PHYH
DB00025,"Antihemophilic factor, human recombinant",ASGR2
DB00025,"Antihemophilic factor, human recombinant",HSPA5
DB00025,"Antihemophilic factor, human recombinant",CALR
DB00025,"Antihemophilic factor, human recombinant",CANX
DB00025,"Antihemophilic factor, human recombinant",LMAN1
DB00025,"Antihemophilic factor, human recombinant",LRP1
DB00025,"Antihemophilic factor, human recombinant",MCFD2
DB00026,Anakinra,IL1R1
DB00027,Gramicidin D,folP
DB00028,Human immunoglobulin G,FCGR1A
DB00028,Human immunoglobulin G,FCGR1BP
DB00028,Human immunoglobulin G,FCGR2A
DB00028,Human immunoglobulin G,FCGR2B
DB00028,Human immunoglobulin G,FCGR2C
DB00028,Human immunoglobulin G,FCGR3A
DB00028,Human immunoglobulin G,FCGR3B
DB00028,Human immunoglobulin G,C3
DB00028,Human immunoglobulin G,C4A
DB00028,Human immunoglobulin G,C4B
DB00028,Human immunoglobulin G,C5
DB00029,Anistreplase,PLG
DB00029,Anistreplase,FGA
DB00029,Anistreplase,SERPINE1
DB00030,Insulin human,INSR
DB00030,Insulin human,IGF1R
DB00030,Insulin human,CPE
DB00030,Insulin human,CCN3
DB00030,Insulin human,LRP2
DB00030,Insulin human,IGFBP7
DB00031,Tenecteplase,PLG
DB00032,Menotropins,FSHR
DB00032,Menotropins,LHCGR
DB00033,Interferon gamma-1b,IFNGR1
DB00033,Interferon gamma-1b,IFNGR2
DB00034,Interferon alfa-2a,IFNAR1
DB00034,Interferon alfa-2a,IFNAR2
DB00035,Desmopressin,AVPR2
DB00035,Desmopressin,AVPR1A
DB00035,Desmopressin,AVPR1B
DB00035,Desmopressin,OXTR
DB00036,Coagulation factor VIIa Recombinant Human,F10
DB00036,Coagulation factor VIIa Recombinant Human,F3
DB00038,Oprelvekin,IL11RA
DB00039,Palifermin,FGFR2
DB00039,Palifermin,FGFR1
DB00039,Palifermin,HSPG2
DB00040,Glucagon,GCGR
DB00040,Glucagon,GLP2R
DB00040,Glucagon,GLP1R
DB00041,Aldesleukin,IL2RB
DB00041,Aldesleukin,IL2RA
DB00041,Aldesleukin,IL2RG
DB00041,Aldesleukin,IL2
DB00042,Botulinum toxin type B,VAMP2
DB00042,Botulinum toxin type B,VAMP1
DB00042,Botulinum toxin type B,SYT2
DB00043,Omalizumab,IGHE
DB00043,Omalizumab,FCER1G
DB00044,Lutropin alfa,LHCGR
DB00045,Lyme disease vaccine (recombinant OspA),TLR2
DB00046,Insulin lispro,INSR
DB00046,Insulin lispro,IGF1R
DB00047,Insulin glargine,INSR
DB00047,Insulin glargine,INS
DB00047,Insulin glargine,IGF1R
DB00048,Collagenase clostridium histolyticum,COL1A1
DB00048,Collagenase clostridium histolyticum,COL2A1
DB00048,Collagenase clostridium histolyticum,COL3A1
DB00050,Cetrorelix,GNRHR
DB00051,Adalimumab,TNF
DB00052,Somatotropin,GHR
DB00052,Somatotropin,PRLR
DB00054,Abciximab,ITGB3
DB00054,Abciximab,ITGA2B
DB00054,Abciximab,FCGR2A
DB00054,Abciximab,FCGR2B
DB00054,Abciximab,VTN
DB00055,Drotrecogin alfa,F8
DB00055,Drotrecogin alfa,F5
DB00055,Drotrecogin alfa,SERPINE1
DB00055,Drotrecogin alfa,THBD
DB00055,Drotrecogin alfa,PROS1
DB00055,Drotrecogin alfa,F2
DB00055,Drotrecogin alfa,PF4
DB00055,Drotrecogin alfa,SERPINA5
DB00055,Drotrecogin alfa,SERPINB6
DB00055,Drotrecogin alfa,PROCR
DB00056,Gemtuzumab ozogamicin,CD33
DB00056,Gemtuzumab ozogamicin,FCGR3B
DB00056,Gemtuzumab ozogamicin,FCGR3A
DB00056,Gemtuzumab ozogamicin,FCGR1A
DB00058,Alpha-1-proteinase inhibitor,ELANE
DB00060,Interferon beta-1a,IFNAR1
DB00060,Interferon beta-1a,IFNAR2
DB00060,Interferon beta-1a,IFNB1
DB00061,Pegademase,GRB2
DB00063,Eptifibatide,ITGB3
DB00063,Eptifibatide,ITGA2B
DB00063,Eptifibatide,CACNA2D1
DB00065,Infliximab,TNF
DB00066,Follitropin,FSHR
DB00067,Vasopressin,AVPR2
DB00067,Vasopressin,AVPR1A
DB00067,Vasopressin,AVPR1B
DB00067,Vasopressin,OXTR
DB00068,Interferon beta-1b,IFNAR1
DB00068,Interferon beta-1b,IFNAR2
DB00069,Interferon alfacon-1,IFNAR1
DB00069,Interferon alfacon-1,IFNAR2
DB00070,Hyaluronidase (ovine),TGFB1
DB00071,Insulin pork,INSR
DB00071,Insulin pork,IGF1R
DB00072,Trastuzumab,ERBB2
DB00073,Rituximab,MS4A1
DB00074,Basiliximab,IL2RA
DB00074,Basiliximab,IL2RB
DB00075,Muromonab,CD3D
DB00075,Muromonab,CD3E
DB00075,Muromonab,CD3G
DB00075,Muromonab,CD247
DB00075,Muromonab,FCGR3B
DB00078,Ibritumomab tiuxetan,MS4A1
DB00080,Daptomycin,folP
DB00081,Tositumomab,MS4A1
DB00081,Tositumomab,FCGR2B
DB00082,Pegvisomant,GHR
DB00083,Botulinum toxin type A,SNAP25
DB00083,Botulinum toxin type A,RHOB
DB00086,Streptokinase,PLG
DB00086,Streptokinase,F2R
DB00087,Alemtuzumab,CD52
DB00087,Alemtuzumab,FCGR3B
DB00087,Alemtuzumab,FCGR3A
DB00087,Alemtuzumab,FCGR1A
DB00087,Alemtuzumab,FCGR2A
DB00087,Alemtuzumab,FCGR2B
DB00087,Alemtuzumab,FCGR2C
DB00089,Capromab pendetide,FOLH1
DB00091,Cyclosporine,CAMLG
DB00091,Cyclosporine,PPP3R2
DB00091,Cyclosporine,PPIA
DB00091,Cyclosporine,PPIF
DB00091,Cyclosporine,PPP3CA
DB00092,Alefacept,CD2
DB00092,Alefacept,CD58
DB00092,Alefacept,FCGR3A
DB00092,Alefacept,FCGR3B
DB00093,Felypressin,AVPR1A
DB00094,Urofollitropin,FSHR
DB00095,Efalizumab,ITGAX
DB00095,Efalizumab,ITGAL
DB00097,Choriogonadotropin alfa,FSHR
DB00097,Choriogonadotropin alfa,LHCGR
DB00098,Antithymocyte immunoglobulin (rabbit),MR1
DB00098,Antithymocyte immunoglobulin (rabbit),CD86
DB00098,Antithymocyte immunoglobulin (rabbit),FCGR2B
DB00098,Antithymocyte immunoglobulin (rabbit),ITGAL
DB00098,Antithymocyte immunoglobulin (rabbit),ITGAV
DB00098,Antithymocyte immunoglobulin (rabbit),ITGB1
DB00098,Antithymocyte immunoglobulin (rabbit),ITGB3
DB00098,Antithymocyte immunoglobulin (rabbit),CD1A
DB00098,Antithymocyte immunoglobulin (rabbit),CD4
DB00099,Filgrastim,CSF3R
DB00100,Coagulation Factor IX (Recombinant),F10
DB00100,Coagulation Factor IX (Recombinant),F11
DB00100,Coagulation Factor IX (Recombinant),F7
DB00100,Coagulation Factor IX (Recombinant),F8
DB00100,Coagulation Factor IX (Recombinant),LRP1
DB00100,Coagulation Factor IX (Recombinant),GGCX
DB00102,Becaplermin,PDGFRB
DB00102,Becaplermin,PDGFRA
DB00102,Becaplermin,A2M
DB00104,Octreotide,SSTR2
DB00105,Interferon alfa-2b,IFNAR2
DB00105,Interferon alfa-2b,IFNAR1
DB00105,Interferon alfa-2b,IFNA2
DB00106,Abarelix,GNRHR
DB00107,Oxytocin,OXTR
DB00107,Oxytocin,AVPR2
DB00107,Oxytocin,AVPR1B
DB00107,Oxytocin,AVPR1A
DB00108,Natalizumab,ITGA4
DB00108,Natalizumab,FCGR3B
DB00108,Natalizumab,FCGR1A
DB00108,Natalizumab,ICAM1
DB00109,Enfuvirtide,gp41
DB00110,Palivizumab,F
DB00110,Palivizumab,FCGR3B
DB00110,Palivizumab,FCGR3A
DB00110,Palivizumab,FCGR1A
DB00110,Palivizumab,C1R
DB00110,Palivizumab,C1QA
DB00110,Palivizumab,C1QB
DB00110,Palivizumab,C1QC
DB00110,Palivizumab,F
DB00110,Palivizumab,FCGR2B
DB00111,Daclizumab,IL2RA
DB00111,Daclizumab,IL2RB
DB00111,Daclizumab,FCGR3B
DB00111,Daclizumab,C1R
DB00111,Daclizumab,C1QA
DB00111,Daclizumab,C1QB
DB00111,Daclizumab,C1QC
DB00111,Daclizumab,FCGR3A
DB00111,Daclizumab,FCGR1A
DB00111,Daclizumab,FCGR2A
DB00111,Daclizumab,FCGR2B
DB00111,Daclizumab,FCGR2C
DB00112,Bevacizumab,VEGFA
DB00112,Bevacizumab,C1QA
DB00112,Bevacizumab,C1QB
DB00112,Bevacizumab,C1QC
DB00112,Bevacizumab,FCGR3A
DB00112,Bevacizumab,FCGR1A
DB00112,Bevacizumab,FCGR2A
DB00112,Bevacizumab,FCGR2B
DB00112,Bevacizumab,FCGR2C
DB00113,Technetium Tc-99m arcitumomab,CEACAM1
DB00114,Pyridoxal phosphate,ABAT
DB00114,Pyridoxal phosphate,F2
DB00114,Pyridoxal phosphate,AGXT2
DB00114,Pyridoxal phosphate,GAD1
DB00114,Pyridoxal phosphate,CBS
DB00114,Pyridoxal phosphate,KYNU
DB00114,Pyridoxal phosphate,SHMT1
DB00114,Pyridoxal phosphate,NFS1
DB00114,Pyridoxal phosphate,GOT1
DB00114,Pyridoxal phosphate,OAT
DB00114,Pyridoxal phosphate,ODC1
DB00114,Pyridoxal phosphate,AADAT
DB00114,Pyridoxal phosphate,PNPO
DB00114,Pyridoxal phosphate,SGPL1
DB00114,Pyridoxal phosphate,TAT
DB00114,Pyridoxal phosphate,KYAT1
DB00114,Pyridoxal phosphate,PYGL
DB00114,Pyridoxal phosphate,SPTLC2
DB00114,Pyridoxal phosphate,CSAD
DB00114,Pyridoxal phosphate,HDC
DB00114,Pyridoxal phosphate,AZIN2
DB00114,Pyridoxal phosphate,SDS
DB00114,Pyridoxal phosphate,GCAT
DB00114,Pyridoxal phosphate,GLDC
DB00114,Pyridoxal phosphate,GPT
DB00114,Pyridoxal phosphate,PSAT1
DB00114,Pyridoxal phosphate,ALAS1
DB00114,Pyridoxal phosphate,AGXT
DB00114,Pyridoxal phosphate,PDXP
DB00114,Pyridoxal phosphate,SPTLC1
DB00114,Pyridoxal phosphate,CTH
DB00114,Pyridoxal phosphate,BCAT1
DB00114,Pyridoxal phosphate,BCAT2
DB00114,Pyridoxal phosphate,PLPBP
DB00114,Pyridoxal phosphate,GOT2
DB00114,Pyridoxal phosphate,PYGB
DB00114,Pyridoxal phosphate,PYGM
DB00114,Pyridoxal phosphate,DDC
DB00114,Pyridoxal phosphate,
DB00114,Pyridoxal phosphate,GAD2
DB00114,Pyridoxal phosphate,KYAT3
DB00114,Pyridoxal phosphate,GADL1
DB00114,Pyridoxal phosphate,SCLY
DB00114,Pyridoxal phosphate,IGSF10
DB00114,Pyridoxal phosphate,PHYKPL
DB00114,Pyridoxal phosphate,SHMT2
DB00114,Pyridoxal phosphate,ALAS2
DB00114,Pyridoxal phosphate,GPT2
DB00114,Pyridoxal phosphate,MOCOS
DB00114,Pyridoxal phosphate,SDSL
DB00114,Pyridoxal phosphate,SRR
DB00114,Pyridoxal phosphate,SEPSECS
DB00114,Pyridoxal phosphate,SPTLC3
DB00114,Pyridoxal phosphate,GAD65
DB00114,Pyridoxal phosphate,GOT1
DB00115,Cyanocobalamin,MTR
DB00115,Cyanocobalamin,MMUT
DB00115,Cyanocobalamin,MTRR
DB00115,Cyanocobalamin,MMAA
DB00115,Cyanocobalamin,MMACHC
DB00115,Cyanocobalamin,MTHFR
DB00116,Tetrahydrofolic acid,MTHFD1
DB00116,Tetrahydrofolic acid,MTHFD2
DB00116,Tetrahydrofolic acid,AMT
DB00116,Tetrahydrofolic acid,ALDH1L1
DB00116,Tetrahydrofolic acid,MTR
DB00116,Tetrahydrofolic acid,FTCD
DB00116,Tetrahydrofolic acid,ATIC
DB00116,Tetrahydrofolic acid,SHMT1
DB00116,Tetrahydrofolic acid,SHMT2
DB00116,Tetrahydrofolic acid,MTHFR
DB00116,Tetrahydrofolic acid,
DB00116,Tetrahydrofolic acid,MTFMT
DB00117,Histidine,HDC
DB00117,Histidine,HARS1
DB00117,Histidine,SLC38A3
DB00117,Histidine,HAL
DB00118,Ademetionine,COMT
DB00118,Ademetionine,CMTR1
DB00118,Ademetionine,AS3MT
DB00118,Ademetionine,GNMT
DB00118,Ademetionine,AMD1
DB00118,Ademetionine,MAT2A
DB00118,Ademetionine,CBS
DB00118,Ademetionine,MAT1A
DB00119,Pyruvic acid,ABAT
DB00119,Pyruvic acid,CA4
DB00119,Pyruvic acid,SLC16A3
DB00119,Pyruvic acid,SLC16A2
DB00119,Pyruvic acid,AGXT2
DB00119,Pyruvic acid,SLC16A5
DB00119,Pyruvic acid,PKLR
DB00119,Pyruvic acid,SLC16A6
DB00119,Pyruvic acid,SLC16A7
DB00119,Pyruvic acid,PDHB
DB00119,Pyruvic acid,PKM
DB00119,Pyruvic acid,SLC16A4
DB00119,Pyruvic acid,SLC16A8
DB00119,Pyruvic acid,SLC16A1
DB00119,Pyruvic acid,PC
DB00120,Phenylalanine,TH
DB00120,Phenylalanine,TAT
DB00120,Phenylalanine,SLC7A8
DB00120,Phenylalanine,FARSA
DB00120,Phenylalanine,PAH
DB00120,Phenylalanine,FARS2
DB00120,Phenylalanine,FARSB
DB00121,Biotin,PCCB
DB00121,Biotin,HLCS
DB00121,Biotin,MCCC2
DB00121,Biotin,ACACB
DB00121,Biotin,MCCC1
DB00121,Biotin,PC
DB00121,Biotin,PCCA
DB00121,Biotin,ACACA
DB00122,Choline,CHRNA2
DB00122,Choline,CHRNA7
DB00122,Choline,PCYT1B
DB00123,Lysine,SLC7A1
DB00123,Lysine,SLC7A4
DB00123,Lysine,SLC7A3
DB00123,Lysine,SLC7A2
DB00123,Lysine,KARS1
DB00125,Arginine,SLC7A3
DB00125,Arginine,TK1
DB00125,Arginine,AZIN2
DB00125,Arginine,ASL
DB00125,Arginine,NOS2
DB00125,Arginine,SLC7A1
DB00125,Arginine,ARG2
DB00125,Arginine,SLC7A4
DB00125,Arginine,ASS1
DB00125,Arginine,NOS3
DB00126,Ascorbic acid,SLC23A1
DB00126,Ascorbic acid,SLC23A2
DB00126,Ascorbic acid,
DB00126,Ascorbic acid,xylA
DB00126,Ascorbic acid,PLOD2
DB00126,Ascorbic acid,PHYH
DB00126,Ascorbic acid,PLOD3
DB00126,Ascorbic acid,BBOX1
DB00126,Ascorbic acid,DBH
DB00126,Ascorbic acid,PAM
DB00126,Ascorbic acid,P3H1
DB00126,Ascorbic acid,P3H2
DB00126,Ascorbic acid,P3H3
DB00126,Ascorbic acid,P4HA1
DB00126,Ascorbic acid,OGFOD1
DB00126,Ascorbic acid,OGFOD2
DB00126,Ascorbic acid,ALKBH2
DB00126,Ascorbic acid,ALKBH3
DB00126,Ascorbic acid,KDM5D
DB00126,Ascorbic acid,PLOD1
DB00126,Ascorbic acid,TMLHE
DB00126,Ascorbic acid,P4HTM
DB00126,Ascorbic acid,EGLN1
DB00126,Ascorbic acid,EGLN2
DB00126,Ascorbic acid,EGLN3
DB00127,Spermine,SMS
DB00127,Spermine,SMOX
DB00127,Spermine,CA14
DB00127,Spermine,CA6
DB00127,Spermine,CA9
DB00127,Spermine,GRIN1
DB00127,Spermine,CA4
DB00127,Spermine,GRIN2A
DB00127,Spermine,ODC1
DB00127,Spermine,CASR
DB00127,Spermine,ADRB1
DB00127,Spermine,ADRB2
DB00128,Aspartic acid,GRIN1
DB00128,Aspartic acid,GRIN2B
DB00128,Aspartic acid,GRIN2A
DB00128,Aspartic acid,ADSS1
DB00128,Aspartic acid,SLC25A13
DB00128,Aspartic acid,GOT1
DB00128,Aspartic acid,ASPA
DB00128,Aspartic acid,ASNS
DB00128,Aspartic acid,ASS1
DB00128,Aspartic acid,ACY1
DB00128,Aspartic acid,GOT2
DB00128,Aspartic acid,DARS1
DB00128,Aspartic acid,SLC25A12
DB00128,Aspartic acid,ASPH
DB00128,Aspartic acid,PAICS
DB00128,Aspartic acid,ADSS2
DB00128,Aspartic acid,SLC1A1
DB00128,Aspartic acid,DARS2
DB00128,Aspartic acid,ASRGL1
DB00128,Aspartic acid,RNASE1
DB00128,Aspartic acid,LYZ
DB00129,Ornithine,OAT
DB00129,Ornithine,OTC
DB00129,Ornithine,ARG1
DB00129,Ornithine,OAZ1
DB00129,Ornithine,SLC7A1
DB00129,Ornithine,SLC7A2
DB00129,Ornithine,SLC25A2
DB00129,Ornithine,ARG2
DB00129,Ornithine,SLC25A15
DB00129,Ornithine,GATM
DB00130,L-Glutamine,CTPS1
DB00130,L-Glutamine,PPAT
DB00130,L-Glutamine,GLUL
DB00131,Adenosine phosphate,PRKAA1
DB00131,Adenosine phosphate,ADK
DB00131,Adenosine phosphate,PRKAB1
DB00131,Adenosine phosphate,ACSS2
DB00131,Adenosine phosphate,PRKAA1
DB00131,Adenosine phosphate,ADCY1
DB00131,Adenosine phosphate,ACSL1
DB00131,Adenosine phosphate,CREB1
DB00131,Adenosine phosphate,PDE4B
DB00131,Adenosine phosphate,PYGL
DB00131,Adenosine phosphate,HINT1
DB00131,Adenosine phosphate,PDE4D
DB00131,Adenosine phosphate,FBP1
DB00132,alpha-Linolenic acid,FADS1
DB00132,alpha-Linolenic acid,FADS2
DB00132,alpha-Linolenic acid,TRPV1
DB00132,alpha-Linolenic acid,PTGS2
DB00132,alpha-Linolenic acid,FFAR1
DB00132,alpha-Linolenic acid,PPARA
DB00132,alpha-Linolenic acid,NR1H4
DB00132,alpha-Linolenic acid,PPARD
DB00132,alpha-Linolenic acid,PPARG
DB00132,alpha-Linolenic acid,RXRA
DB00132,alpha-Linolenic acid,ELOVL2
DB00132,alpha-Linolenic acid,ELOVL5
DB00132,alpha-Linolenic acid,SLC8A1
DB00133,Serine,CBS
DB00133,Serine,SDS
DB00133,Serine,SRR
DB00133,Serine,SPTLC2
DB00133,Serine,SPTLC1
DB00133,Serine,SARS1
DB00133,Serine,AGXT
DB00134,Methionine,MTRR
DB00134,Methionine,MTR
DB00134,Methionine,METAP2
DB00134,Methionine,BHMT
DB00134,Methionine,BHMT2
DB00135,Tyrosine,TH
DB00135,Tyrosine,YARS2
DB00135,Tyrosine,YARS1
DB00135,Tyrosine,TAT
DB00136,Calcitriol,VDR
DB00136,Calcitriol,HOXA10
DB00138,Cystine,SLC7A11
DB00138,Cystine,CTNS
DB00139,Succinic acid,ALDH5A1
DB00139,Succinic acid,SUCNR1
DB00140,Riboflavin,RFK
DB00140,Riboflavin,ribC
DB00140,Riboflavin,BLVRB
DB00140,Riboflavin,MPO
DB00141,N-Acetylglucosamine,B4GALT1
DB00141,N-Acetylglucosamine,B4GALT4
DB00141,N-Acetylglucosamine,NAGK
DB00141,N-Acetylglucosamine,NAGPA
DB00141,N-Acetylglucosamine,NAGLU
DB00141,N-Acetylglucosamine,RENBP
DB00142,Glutamic acid,GRM1
DB00142,Glutamic acid,GRM4
DB00142,Glutamic acid,GRIK4
DB00142,Glutamic acid,GRIK5
DB00142,Glutamic acid,GRM7
DB00142,Glutamic acid,GRM8
DB00142,Glutamic acid,SLC1A7
DB00142,Glutamic acid,OPLAH
DB00142,Glutamic acid,PFAS
DB00142,Glutamic acid,BCAT2
DB00142,Glutamic acid,GRIN2D
DB00142,Glutamic acid,GLS
DB00142,Glutamic acid,GOT2
DB00142,Glutamic acid,EPRS1
DB00142,Glutamic acid,ASNS
DB00142,Glutamic acid,GLUL
DB00142,Glutamic acid,GOT1
DB00142,Glutamic acid,TAT
DB00142,Glutamic acid,GPT
DB00142,Glutamic acid,GGCX
DB00142,Glutamic acid,SLC1A3
DB00142,Glutamic acid,SLC1A2
DB00142,Glutamic acid,SLC1A1
DB00142,Glutamic acid,GCLC
DB00142,Glutamic acid,SLC1A6
DB00142,Glutamic acid,GLUD2
DB00142,Glutamic acid,GMPS
DB00142,Glutamic acid,BCAT1
DB00142,Glutamic acid,ABAT
DB00142,Glutamic acid,GRIN1
DB00142,Glutamic acid,FPGS
DB00142,Glutamic acid,ENPEP
DB00142,Glutamic acid,GRIN2A
DB00142,Glutamic acid,GRIN2B
DB00142,Glutamic acid,GRIN2C
DB00142,Glutamic acid,EARS2
DB00142,Glutamic acid,NADSYN1
DB00142,Glutamic acid,NAGS
DB00142,Glutamic acid,AADAT
DB00142,Glutamic acid,GRIN3A
DB00142,Glutamic acid,GPT2
DB00142,Glutamic acid,AASS
DB00142,Glutamic acid,GLS2
DB00142,Glutamic acid,DNPEP
DB00142,Glutamic acid,SLC7A11
DB00142,Glutamic acid,CPQ
DB00142,Glutamic acid,PSAT1
DB00142,Glutamic acid,GLUD1
DB00142,Glutamic acid,GRIK1
DB00142,Glutamic acid,GRIA1
DB00142,Glutamic acid,GCLM
DB00142,Glutamic acid,FOLH1
DB00142,Glutamic acid,GAD2
DB00142,Glutamic acid,GAD1
DB00142,Glutamic acid,FTCD
DB00142,Glutamic acid,GRIA2
DB00142,Glutamic acid,GRIA3
DB00142,Glutamic acid,GRIA4
DB00142,Glutamic acid,ALDH18A1
DB00142,Glutamic acid,GRIK2
DB00142,Glutamic acid,GRIK3
DB00142,Glutamic acid,GOT1
DB00143,Glutathione,AKR1B1
DB00143,Glutathione,IMPDH1
DB00143,Glutathione,MMP9
DB00143,Glutathione,CYP3A4
DB00143,Glutathione,GPX5
DB00143,Glutathione,GSR
DB00143,Glutathione,GSS
DB00143,Glutathione,GSTM1
DB00143,Glutathione,GSTK1
DB00143,Glutathione,GSTA3
DB00143,Glutathione,GSTM3
DB00143,Glutathione,GSTA4
DB00143,Glutathione,GSTM4
DB00143,Glutathione,GSTA5
DB00143,Glutathione,GSTP1
DB00143,Glutathione,GSTO1
DB00143,Glutathione,GPX1
DB00143,Glutathione,GPX2
DB00143,Glutathione,GSTT1
DB00143,Glutathione,GSTZ1
DB00143,Glutathione,GPX5
DB00143,Glutathione,GPX3
DB00143,Glutathione,GLO1
DB00143,Glutathione,LTC4S
DB00143,Glutathione,MGST3
DB00143,Glutathione,HPGDS
DB00143,Glutathione,GSTA1
DB00143,Glutathione,GSTA2
DB00143,Glutathione,MGST1
DB00143,Glutathione,ESD
DB00143,Glutathione,GGT1
DB00143,Glutathione,GSTM2
DB00143,Glutathione,GLRX
DB00143,Glutathione,GPX4
DB00143,Glutathione,GSTM5
DB00143,Glutathione,GPX6
DB00143,Glutathione,HAGH
DB00143,Glutathione,GPX1
DB00143,Glutathione,GPX7
DB00143,Glutathione,MGST2
DB00143,Glutathione,GSTO2
DB00143,Glutathione,GLRX2
DB00144,Phosphatidyl serine,PISD
DB00144,Phosphatidyl serine,SCARB1
DB00144,Phosphatidyl serine,PRKCA
DB00144,Phosphatidyl serine,PTDSS1
DB00144,Phosphatidyl serine,DGKG
DB00144,Phosphatidyl serine,DGKD
DB00144,Phosphatidyl serine,PTDSS2
DB00144,Phosphatidyl serine,SMPD4
DB00144,Phosphatidyl serine,SMPD3
DB00144,Phosphatidyl serine,ATP8A1
DB00145,Glycine,GRIN2A
DB00145,Glycine,GCAT
DB00145,Glycine,ALAS1
DB00145,Glycine,ALAS2
DB00145,Glycine,GARS1
DB00145,Glycine,BAAT
DB00145,Glycine,GPR18
DB00145,Glycine,GSS
DB00145,Glycine,GRIN2C
DB00145,Glycine,
DB00145,Glycine,GLYAT
DB00145,Glycine,SHMT2
DB00145,Glycine,GLYATL2
DB00145,Glycine,GLYATL1
DB00145,Glycine,AGXT2
DB00145,Glycine,PIPOX
DB00145,Glycine,GRIN3B
DB00145,Glycine,GLRA1
DB00145,Glycine,AGXT
DB00145,Glycine,GLRB
DB00145,Glycine,SHMT1
DB00145,Glycine,GLRA3
DB00145,Glycine,GLRA2
DB00145,Glycine,GNMT
DB00145,Glycine,GATM
DB00146,Calcifediol,VDR
DB00147,Pyridoxal,PDXK
DB00148,Creatine,CKM
DB00148,Creatine,CKMT1A
DB00148,Creatine,CKB
DB00148,Creatine,CKMT2
DB00148,Creatine,GAMT
DB00149,Leucine,LARS2
DB00149,Leucine,LCMT2
DB00149,Leucine,LCMT1
DB00149,Leucine,LARS1
DB00149,Leucine,BCAT2
DB00149,Leucine,BCAT1
DB00150,Tryptophan,IDO1
DB00150,Tryptophan,WARS1
DB00150,Tryptophan,trpS
DB00150,Tryptophan,WARS2
DB00151,Cysteine,GCLM
DB00151,Cysteine,GCLC
DB00151,Cysteine,GOT1
DB00151,Cysteine,GOT2
DB00151,Cysteine,CTH
DB00151,Cysteine,CBS
DB00151,Cysteine,CARS1
DB00151,Cysteine,MGMT
DB00151,Cysteine,GSS
DB00151,Cysteine,CARS2
DB00151,Cysteine,CSAD
DB00151,Cysteine,NFS1
DB00151,Cysteine,CDO1
DB00152,Thiamine,TPK1
DB00152,Thiamine,aceE
DB00153,Ergocalciferol,VDR
DB00153,Ergocalciferol,CACNG1
DB00154,Daleuton,PTGS2
DB00154,Daleuton,PTGS1
DB00155,Citrulline,NOS3
DB00155,Citrulline,ASS1
DB00155,Citrulline,DDAH2
DB00155,Citrulline,DDAH1
DB00155,Citrulline,OTC
DB00155,Citrulline,NOS1
DB00155,Citrulline,NOS2
DB00155,Citrulline,PADI4
DB00155,Citrulline,PADI6
DB00155,Citrulline,PADI1
DB00155,Citrulline,PADI3
DB00155,Citrulline,PADI2
DB00156,Threonine,TARS1
