DrugBank_ID,Drug_Name,Gene
DB02833,[4-(2-Amino-4-Methyl-Thiazol-5-Yl)-Pyrimidin-2-Yl]-(3-Nitro-Phenyl)-Amine,CDK2
DB02834,IDD552,AKR1B1
DB02835,"Alpha-D-Glucose 1,6-Bisphosphate",pgmB
DB02835,"Alpha-D-Glucose 1,6-Bisphosphate",PGM1
DB02836,Guanosine 5'-diphosphate 2':3'-cyclic monophosphate,purA
DB02836,Guanosine 5'-diphosphate 2':3'-cyclic monophosphate,relA
DB02837,4-(Hydrogen sulfate)-beta-D-galactopyranose,MBL2
DB02838,"3,4-Dihydro-2h-Pyrrolium-5-Carboxylate",DAO
DB02839,"2,4-Dihydroxybenzoic Acid",pobA
DB02839,"2,4-Dihydroxybenzoic Acid",pobA
DB02840,"4-(1,3-Benzodioxol-5-Yl)-5-(5-Ethyl-2,4-Dihydroxyphenyl)-2h-Pyrazole-3-Carboxylic Acid",HSP90AA1
DB02841,[(2-Ethoxy-1-Naphthoyl)Amino]Methylboronic Acid,bla
DB02841,[(2-Ethoxy-1-Naphthoyl)Amino]Methylboronic Acid,bla
DB02841,[(2-Ethoxy-1-Naphthoyl)Amino]Methylboronic Acid,blaCTX-M-9a
DB02843,alpha-D-glucose-1-phosphate,PYGM
DB02843,alpha-D-glucose-1-phosphate,algC
DB02843,alpha-D-glucose-1-phosphate,malP
DB02843,alpha-D-glucose-1-phosphate,agp
DB02843,alpha-D-glucose-1-phosphate,rmlA
DB02844,"S-Adenosyl-1,8-Diamino-3-Thiooctane",speE
DB02845,Methylphosphinic Acid,ACHE
DB02845,Methylphosphinic Acid,BCHE
DB02845,Methylphosphinic Acid,estA
DB02846,L-thioproline,ANXA5
DB02848,"{4-[3-(6,7-Diethoxy-Quinazolin-4-Ylamino)-Phenyl]-Thiazol-2-Yl}-Methanol",FBP1
DB02849,N-Pyridoxyl-1-Amino-Cyclopropanecarboxylic Acid-5-Monophosphate,dgdA
DB02850,DAS869,HPD
DB02851,Thiocamphor,camC
DB02852,Domoic Acid,GRIK1
DB02852,Domoic Acid,GRIK2
DB02854,Aetiocholanolone,IGHG2
DB02854,Aetiocholanolone,SULT2A1
DB02854,Aetiocholanolone,fabG3
DB02854,Aetiocholanolone,HSD17B11
DB02855,N-(3-Propylcarbamoyloxirane-2-Carbonyl)-Isoleucyl-Proline,CTSB
DB02856,Ethyl N-methylcarbamate,stxB
DB02857,Guanosine,PNP
DB02857,Guanosine,UL54
DB02857,Guanosine,
DB02857,Guanosine,43
DB02857,Guanosine,
DB02858,3-(4-Benzenesulfonyl-Thiophene-2-Sulfonylamino)-Phenylboronic Acid,ampC
DB02859,Soraphen A,ACACB
DB02860,Calyculin A,SLC12A1
DB02860,Calyculin A,PPP1CC
DB02861,"4-(Aminosulfonyl)-N-[(3,4,5-Trifluorophenyl)Methyl]-Benzamide",CA2
DB02865,Glucosamine 4-Phosphate,fhuA
DB02866,Dansylamide,CA2
DB02867,D-Mannose 1-phosphate,algC
DB02868,Deacetoxyvinzolidine,CALM1
DB02869,3-amino-5-phenylpentane,CTSK
DB02869,3-amino-5-phenylpentane,CTSV
DB02870,N-Allylaniline,E
DB02871,3-Butylthiolane 1-Oxide,ADH1C
DB02872,"Cis-[4,5-Bis-(4-Bromophenyl)-2-(2-Ethoxy-4-Methoxyphenyl)-4,5-Dihydroimidazol-1-Yl]-[4-(2-Hydroxyethyl)Piperazin-1-Yl]Methanone",MDM2
