Gene1,Gene2,Score
C1QB,C1R,4.15175957935088
POLR2A,POLR2B,4.15022766340412
DNAJA1,HSPA9,4.1487948751524
RPL19,RPL27,4.14783490470839
MRPL15,RPS2,4.14753875812714
RPL4,RPS11,4.14723737624964
MRPS17,RPS15,4.14667004960134
PSMA2,PSMA4,4.14630050830643
ATP5F1D,ATP5PO,4.14628650799993
EEF1A1,RPS18,4.14422807297201
RPL7,RPS8,4.14417871351945
NDUFV1,NDUFS8,4.14331146625873
RPL38,EIF3H,4.14329496325448
RPS11,RPS17,4.14233788036066
RPLP0,RPS11,4.14225680212657
POLR1A,POLR3B,4.14188196006376
HSPA1L,DNAJB11,4.14132245837683
PDHA1,PDHB,4.14023428749345
EEF2,RPS15,4.1383862534082
RPS3A,RPS11,4.13718385023604
RPL32,RPS15,4.13435837181823
MCAT,CBR4,4.13381048684045
MRPL3,RPL23AP82,4.13223347176703
HSPA8,DNAJB11,4.13182040949552
MRPS17,MRPL24,4.13106544007497
DHFR2,TYMS,4.12954360082064
RPS3,RPS11,4.12797281782589
HSPA1A,DNAJB11,4.12707250101269
HSPA1B,DNAJB11,4.12707250101269
DHFR,TYMS,4.12705789944731
EEF1A1,RPL7,4.1268542820402
POLR3A,POLR3B,4.12605455376933
RPL21,RPS11,4.12406980222607
MRPS17,RPL23,4.1239789282979
RPLP2,RPS3A,4.11930477593493
EIF4B,EIF3A,4.11881806922609
F5,F10,4.11768671707274
MRPS15,PNPT1,4.11725898956953
RPL23A,RPL31,4.11458440068873
DNAJA1,HSPA4,4.11448911529234
ASF1B,IPO4,4.11421870777064
MRPL3,MRPL22,4.11383178522104
RPLP1,RPS15A,4.1117870939883
RPL11,RPS11,4.11151979935825
RPS17,RPS27A,4.11020965957272
RPS8,RPS15,4.10987348314838
MCM6,MCM7,4.10942498315421
FAU,RPLP2,4.10934006157001
MRPL2,RPS20,4.10867960860732
POLR2A,POLR3B,4.10677925699489
PLK1,CDC20,4.10584665928126
ATP5F1A,ATP5F1D,4.10470302097383
MRPL22,RPS3,4.10417604681695
BCKDHA,BCKDHB,4.10309392590746
RPL4,RPS17,4.10260982462233
OXA1L,GTPBP3,4.10014566009946
RPL8,RPL17,4.09880720732858
RPLP1,RPLP2,4.09696582020162
RPL19,RPS10,4.09677201023856
MRPS18A,MRPL9,4.09438696718138
MRPL16,RPS3,4.09413981731426
DNAJB11,HSPA13,4.09293272177216
RPL13A,MRPS9,4.09097540028694
SF3A1,SF3A3,4.09042534327098
CDK2,MCM3,4.09020830275564
NDUFS2,NDUFS8,4.08946730255158
RPL9,RPS2,4.0889263943105
POLR1A,POLR2B,4.08891535818104
RPL26,RPS3A,4.08859413885642
RPLP1,EIF3H,4.08853713339115
EIF3E,RPL7,4.08836491290485
HEMK1,MTRF1L,4.08783682688426
HSPA9,DNAJB9,4.08732152316318
RPL22,RPL36A,4.08621123377974
HYOU1,DNAJB11,4.08505307899627
MCM6,GMNN,4.08335577966852
HSPA9,DNAJA3,4.08327907399201
PDHA2,PDHB,4.08306242353843
MRPL22,MRPS17,4.08271049641389
NDUFS8,NDUFV2,4.08258604293159
RPS5,RPS17,4.081528633013
RPS5,RPS11,4.08090747291038
POLR3A,POLR2B,4.08084132083289
UBE2N,UBE2V2,4.07934957073497
RPL26,RPS17,4.07847233839287
RPL32,RPLP0,4.07818216472424
MCAT,HSD17B8,4.07661119586197
RPL7,RPS3A,4.07655986071312
RPL17,RPLP2,4.07638269740562
RPLP2,RPS5,4.07622859131354
MRPS18C,MRPL9,4.07572062432444
RPL23A,RPS25,4.07564588072245
RPL7,RPL11,4.07514155334143
RPS15A,RPL23,4.07463730502221
RPL18,RPS15,4.07365163492607
RPS14,MRPL17,4.07261964169149
RPL9,RPL11,4.07254005737257
CDT1,CDC6,4.07235427912277
G6PD,PGLS,4.07173259057233
RPS11,RPS15A,4.07094771401914
RPL38,RPS7,4.06966440445407
RPL7,RPLP0,4.06924897695209
RPL28,RPS15,4.06868309947978
RFC3,RFC4,4.06847484455253
