Gene1,Gene2,Score
DHX15,H2BC3,1.71277549994997
DHX15,H2BC5,1.71277549994997
GOT2,NARS2,1.71277384866063
GPS1,ITPK1,1.71277044518326
ZNF600,ITGB7,1.71276028133766
CDC37,AKT2,1.71274092858191
CAVIN1,SPARC,1.71273201184353
SNU13,RBM28,1.71272788500957
IMPDH1,NOLC1,1.71271304099621
TMEM70,ELOVL6,1.7127102352842
MTREX,GNB3,1.71270750731868
UTP3,POLR1B,1.71268526315496
MKI67,ESPL1,1.71266209316203
TCIRG1,PSMA6,1.71266039530312
RPLP2,DDX18,1.71265257335319
GART,MRPL39,1.71264751268078
VCP,GTPBP3,1.71260126374177
CAD,PIGZ,1.71260126374177
SRF,TADA2A,1.71260126374177
KIF3A,SLC7A4,1.71260126374177
RPL18A,TCP1,1.71260110125168
GPC5,GPC1,1.71259574195342
NSD2,EED,1.7125946297461
STIP1,NEK2,1.71259311439733
ARHGAP15,XPO5,1.71259311439733
PEX14,UBE2D2,1.71259311439733
UBE2D4,PEX14,1.71259311439733
ZNF610,SLC30A1,1.7125884266953
RPL10A,PRIM1,1.71258642855314
ABCC1,ARFGAP1,1.71258077437973
MTOR,FIP1L1,1.71258077437973
SEC63,UBE2J2,1.71258077437973
PDPK1,AURKC,1.71257842786739
RPS7,TMEM59,1.71256606120816
GPR151,GPR173,1.71256518256205
NSUN5P2,MAP3K11,1.71256444068309
DUSP18,ORC4,1.71255648682272
DHX9,VTA1,1.71253879377949
FGL1,CENPQ,1.71253150952552
AP1M2,PLAT,1.71253143682416
DLG2,NEK8,1.71253048128914
ADH5,MOGAT2,1.71251559019366
HYKK,PHYKPL,1.71250598345604
INSR,YWHAB,1.71250061442125
ABCC5,ABCC11,1.71248910262411
JUN,MAFB,1.71247071002834
TUBA1B,PAPLN,1.71246911610307
PSMB1,ZPR1,1.7124542886756
EZH2,SMARCA4,1.71245065734205
COPZ2,DDX3Y,1.71243343260935
EIF2AK2,CASP8,1.71242674831547
COL3A1,PLAT,1.71241022495954
PEBP1,RPL32,1.7123979119616
ALYREF,USP14,1.71238961941998
EIF4A1,EXOSC5,1.7123831576279
UTP25,KDM5A,1.7123714341515
FGFR3,MAGI3,1.71236709172161
SIN3A,DMAP1,1.71236608872953
TMPRSS11A,IMPG1,1.71236333253419
EML5,WDR27,1.71234951659205
ATF5,HOXA10,1.71233644435752
ATF5,HOXD4,1.71233644435752
ARFGEF2,SSU72,1.71233474651728
ARFGEF2,TBC1D10A,1.71233474651728
MTFMT,PDGFRB,1.71233331628779
PSMC2,NPEPPS,1.71232952168112
YBX3,CREB3L1,1.71232749530469
KCNH3,KCNK5,1.71232177734379
PHF2,UTY,1.71231248796654
TMIGD1,CD19,1.71231205366834
GABRA1,CHRFAM7A,1.71229195281459
GABRG3,CHRFAM7A,1.71228755229247
GABRA5,CHRFAM7A,1.71228755229247
CHRNA5,GABRE,1.71228755229247
GABRE,CHRFAM7A,1.71228755229247
GABRA6,CHRFAM7A,1.71228755229247
CHRNA7,GABRE,1.71228755229247
FGFR1,MPP3,1.71228638170339
HOXB13,TSHB,1.71223740339772
DUSP12,RBM28,1.71223594690173
DLG3,SRMS,1.7122269149961
IL7R,JAK3,1.7122245592349
MYH8,TNNI2,1.71220671978043
CHD3,SUMO3,1.71220464113762
MTHFD2,SLC4A5,1.71219990955974
H3-3B,YARS1,1.71219430175563
H3-3A,YARS1,1.71219430175563
PIAS3,MRTFA,1.71218681645118
PIAS3,ACIN1,1.71218681645118
EEF2,DROSHA,1.71215660249768
TUBB,HSPA4,1.71215221776984
HSPA4,TUBB2B,1.71215221776984
STAG2,ZNF3,1.71212345107066
AFDN,MAPK10,1.71211558165058
NEK8,NOP2,1.7121119994966
INTU,FZD1,1.71210694743039
MCRS1,RUVBL2,1.71210277385123
SPARC,TCTN1,1.71209254592485
PRICKLE1,VIP,1.71204703746549
AR,SRY,1.71204226968802
SKP1,CRISPLD1,1.71202691642461
APH1A,XPO1,1.71202628052569
RPL15,GMPS,1.71200896981351
SLC27A2,ELOVL2,1.7120051920634
MEST,DPP9,1.71200386449615
MEST,DPP8,1.71200386449615
UTP3,IMP4,1.71200381577432
NSUN5P2,CAMK2G,1.71199887786171
MRE11,MYH9,1.71199189556363
PDIA3,VCL,1.71198972609635
DLG4,PAK1,1.71198808157339
PDIA3,CHD1L,1.71198376777555
MUC2,TAGLN2,1.71198108540772
POLR1E,EIF3G,1.71196904990107
G2E3,UBE3A,1.71195835855443
HECTD2,G2E3,1.71195835855443
AK9,MRPL16,1.71194990623671
IPO5,PDHB,1.71194757866735
MPHOSPH10,RPS14,1.71194757866735
EIF4E,PRPF40B,1.71194757866735
CEBPB,DOCK5,1.71194426994519
FTSJ3,PEX1,1.71194093818933
HDDC2,PUM3,1.71194057692295
PPP5C,PNO1,1.7119271771088
OSBP,GOSR1,1.71192605979125
SAA1,UBE2V1,1.71191276335975
IFI35,PARP12,1.71189027347805
UQCRC2,PIWIL1,1.71188521616459
GRAP,RAB5C,1.71186073237539
NRAS,PPP3R1,1.71186062389305
USP51,UBE2M,1.71185462982027
SSBP3,LDB1,1.71185289876094
ACTL6B,RIPK4,1.711844816574
ATP6V0B,ATP6V1F,1.71184032034049
TUBB3,STAU1,1.71182203792611
MTHFD1,RPL3L,1.71181598683169
ITGA2B,ZNF208,1.711803603851
FGF20,NDST3,1.71180074853266
NSUN5,MAP3K12,1.711785692178
FGF3,IKZF5,1.71177422239164
ATP6V1B2,H2AC20,1.7117725306133
MAPK1,PEA15,1.71176511252884
CDK8,MED26,1.71175836641432
EXOSC10,UPF1,1.71174956588538
UPF1,PAN2,1.71174956588538
HSD17B4,PRKAG2,1.71174956588538
RASA4,DIAPH1,1.71174956588538
CRYZ,PTGR2,1.71174886893524
ALOX5AP,APOC2,1.71174109366912
TIAM1,ARHGAP24,1.71172096162685
TIAM1,ARHGAP25,1.71172096162685
ARHGAP22,TIAM1,1.71172096162685
ARHGAP15,TIAM1,1.71172096162685
TIAM2,ARHGAP25,1.71172096162685
TIAM2,ARHGAP24,1.71172096162685
TIAM2,ARHGAP22,1.71172096162685
TIAM2,ARHGAP15,1.71172096162685
ZMIZ2,SLC67A2,1.71171623319609
HOXA7,HOXB6,1.71171165376124
ZNF611,PTCH2,1.71170360816063
ZNF493,PTCH2,1.71170360816063
ATP5PD,CASP5,1.71169672249643
RAB5IF,MRPL11,1.71169293446608
GOLGA3,GOPC,1.71169170115468
MYH9,TAF9,1.71166603142711
SEC61A1,RFC3,1.71165541308534
ITGB7,ZNF85,1.71165477083172
KRAS,YWHAE,1.71165170715034
PRMT1,AR,1.7116316086618
DLG1,TSSK3,1.71162645337456
MXRA5,IL18R1,1.71162351611855
GAPDH,PIGS,1.71161521418771
GAPDH,TMEM87B,1.71161521418771
CSK,PRKAR1A,1.71160691247803
DNAJC18,BOC,1.71159560037112
DNAJB14,BOC,1.71159560037112
GFPT1,PPP2R3C,1.71159491491241
IFT25,CNTNAP1,1.71158776403399
MX1,STAT1,1.7115721831712
CYTB,TRNT1,1.71156057942503
CDK7,PIM1,1.71155701376429
NR1H3,CDK6,1.71155500441066
DNAJC15,HSPA2,1.71155268741263
MYOZ2,TUT7,1.71154420929397
KRTAP9-2,KRTAP4-5,1.71153731406819
APP,SPTAN1,1.71153730595035
SLC67A1,TST,1.71153434423051
SIN3A,H2AC20,1.71152161351762
SLC35B1,ERO1A,1.71151450872473
FOXRED2,FLAD1,1.71151037225202
NRAS,PPP2CA,1.71150495137606
HSP90AB1,CNBP,1.71149289760461
HSP90AB1,SCO1,1.71149289760461
HSP90AB1,THNSL2,1.71149289760461
HSP90AB1,ATP6V1H,1.71149289760461
HSP90AB1,FIS1,1.71149289760461
COQ2,HSP90AB1,1.71149289760461
GALE,HSP90AB1,1.71149289760461
FAU,HSP90AB1,1.71149289760461
ENDOG,HSP90AB1,1.71149289760461
ERG28,HSP90AB1,1.71149289760461
HSP90AB1,RPL34,1.71149289760461
INO80,H2AC25,1.71149003851246
KRAS,ARID1A,1.71148099271827
NOMO1,GFM1,1.71145600740078
FAT4,FZD7,1.7114504596506
GNB1,XPO5,1.71144702013348
ALKBH4,SETMAR,1.71144078480562
FBL,CORO1C,1.71143947607333
CENPC,DAXX,1.71143691126382
NME3,NPEPL1,1.71143319971261
FGF2,PRMT1,1.71141802931025
KALRN,PPM1F,1.71141306777958
TREH,CALML3,1.71139263248327
SOX4,TOX,1.7113903374381
SMARCE1,SOX4,1.7113903374381
TOX3,SOX4,1.7113903374381
HMG20A,SOX4,1.7113903374381
TNFSF13B,CST7,1.71138768090242
ALDH1A3,ALDH18A1,1.71137193763639
CDK3,CCNT1,1.71136487928601
RPIA,RPS6,1.7113476249097
NCKAP1,CLTB,1.71134474215953
MAP2K2,TAF6,1.71133488052267
LRP6,PLXDC2,1.71133153219828
NOL4L,SLC1A7,1.71130941171545
FZD1,DCHS1,1.71130015731687
KRT8,DEDD,1.71129723843092
C9orf43,FURIN,1.71129232407262
C9orf43,PCSK1,1.71129232407262
MBTPS1,PCSK7,1.71129232407262
PCSK4,MBTPS1,1.71129232407262
PCSK2,MBTPS1,1.71129232407262
FURIN,MBTPS1,1.71129232407262
MSTO1,PCSK7,1.71129232407262
C9orf43,PCSK4,1.71129232407262
C9orf43,PCSK7,1.71129232407262
FURIN,MSTO1,1.71129232407262
PCSK1,MSTO1,1.71129232407262
PCSK1,MBTPS1,1.71129232407262
PCSK2,MSTO1,1.71129232407262
PCSK4,MSTO1,1.71129232407262
C9orf43,PCSK2,1.71129232407262
CAMK1D,ILKAP,1.71127763298208
STK38,PRKCA,1.71127401323421
GLI2,PRKACB,1.71126460251739
HNRNPU,CCAR1,1.71126389586378
ZMYM2,ZNF207,1.71126344605737
RPL13,SNIP1,1.71126303217191
GLI2,PTCH2,1.71125881792398
ACTA2,CALM2,1.71125125332838
ACTG2,CALM2,1.71125125332838
ACTA2,CALM1,1.71125125332838
ACTG2,CALM1,1.71125125332838
ACOX1,EGLN1,1.71124771829906
NLGN4Y,PIM3,1.71124411538575
NRK,PPM1E,1.71124045964362
FILIP1,MRE11,1.71123502403038
GSPT1,HSPA2,1.71123072892755
MGP,PROS1,1.71120997494314
PROS1,BGLAP,1.71120997494314
TBK1,NONO,1.71120894713715
PRKAA1,PRKCB,1.71120723244813
SLA,ADAMTS10,1.71120246019608
UFD1,SORBS2,1.71118430374634
SH3KBP1,UFD1,1.71118430374634
CD2AP,UFD1,1.71118430374634
GBF1,COPB2,1.71118116075831
ARMC3,COPB2,1.71118116075831
ERCC4,MLH1,1.71118116075831
PPM1B,PALS1,1.71116661657576
TTC1,SPRY4,1.71116367529887
GNAI3,GNA14,1.71115441448514
GNAI1,GNA14,1.71115441448514
CDK6,RPE,1.71114193057449
PTCH2,CCND3,1.71114001570248
RANGAP1,SUMO3,1.71112919584263
RPL35,RPF2,1.7111234357965
ACACB,PPP6C,1.71112032627087
NCAN,PAMR1,1.71110897690726
SIGMAR1,VPS4A,1.71110518382353
EMILIN1,C1QB,1.71110113137045
MMP15,TIMP3,1.7110917305064
EGR1,MAPK7,1.71108369122811
NVL,DDX31,1.7110734027526
IBA57,SELENOO,1.71107012628028
ADGRA2,EXOC1,1.7110653353827
CMPK2,ISG20,1.71105179741634
HSPA2,EIF3B,1.71104229405185
PGM1,SDHA,1.71103710865338
PIK3R1,PTEN,1.7110321074189
APOH,ITIH4,1.7110298975818
PPP1R12B,GLIS2,1.71102370587241
CCT8L1P,RIOK2,1.71101240090386
NDOR1,REXO4,1.71099204943363
AKT1,STAT1,1.71099031883412
XRN1,BRIX1,1.71098182949057
JAK3,STAT5B,1.7109770528896
EPHA7,NSUN5P2,1.7109682123507
KIF11,IKBKE,1.71095319825805
GSK3A,LORICRIN,1.7109525285026
CDK9,LORICRIN,1.7109525285026
NLGN4Y,CACNA1A,1.7109461974455
EFNB3,EMILIN2,1.71094615161111
MTHFD1,EEA1,1.71092222404405
TREH,CYC1,1.71091968144832
GUK1,PUS7,1.71091119724466
EIF2S1,ZC3H15,1.71087862806677
GALE,TDO2,1.71087541606358
RNF2,PCGF2,1.71087443582335
COX6B1,NMB,1.71086900965876
NOC4L,POLR1C,1.71085992648584
TAPT1,SFPQ,1.71085383025176
MED13L,ZMIZ1,1.71085380833094
SUCLA2,DYRK1B,1.71084348637277
FOXD4L4,NTN1,1.71083417418462
LIMK2,MAGI1,1.71082016943289
HMGCS2,EIF3D,1.71081473626955
CLK1,NOP2,1.71080028289705
MPHOSPH10,EIF3C,1.71079334036596
GTPBP4,FBXL20,1.71078033076684
PI4KA,PRKCE,1.7107775112714
CPOX,SAMM50,1.71077261763957
UTP14A,EXOSC9,1.71076987005133
MRPS17,RPL12,1.71075567604283
MYCBP2,DCUN1D1,1.71074404453199
PTHLH,ANKRD36B,1.71074039173406
GCLC,MYO9A,1.71073071487245
UTP3,KDM5A,1.7107306258829
RANBP6,TBP,1.71072417323841
PKN1,RAC3,1.71069094115722
FGB,TAS2R20,1.71068938915792
MED15,CDC14B,1.71068716581933
COPS5,ATR,1.7106817521585
HSPA1L,RPL7,1.7106769923493
TSSK2,PPM1F,1.71067695813471
NCK1,SORBS2,1.71066362341634
CD2AP,NCK1,1.71066362341634
SH3KBP1,NCK1,1.71066362341634
ABL2,SH3KBP1,1.71066362341634
ABL2,SORBS2,1.71066362341634
CD2AP,ABL2,1.71066362341634
CYB5A,CNDP2,1.71065798388376
EIF2AK2,MAP3K7,1.71063711847605
LSP1,CD53,1.71063320915801
RPIA,UTP18,1.71062165961949
LRRC15,SLC20A1,1.7106211032995
THOP1,SELENOO,1.71061632135416
RRP15,DUS1L,1.71060755523567
MCF2L2,DAPK2,1.71060675200481
PPM1E,MAP3K15,1.71060623658165
DOCK2,CST7,1.71060542007893
TSR1,MAP3K14,1.71059285402715
ADSL,PA2G4,1.71058500498132
PALS2,RPS6KA5,1.7105845845279
TRIM29,TRIM27,1.71056501897898
SDSL,ZNF593,1.71056068158019
POLL,PSMC5,1.71055091219229
POLL,PSMC2,1.71055091219229
KRTAP5-9,KRTAP5-4,1.71054764682498
RPS6KB1,POLDIP3,1.71054737686683
FIGNL1,ACTN2,1.71054203356395
RAB25,RAB11FIP3,1.71052750801231
RAB3A,SYP,1.71049404083415
NR1H2,UBASH3B,1.71049361082313
SLC5A10,SLITRK6,1.71047156418291
WBP1L,SLC8B1,1.71045495768214
CLK1,PRKCB,1.71044921960504
HOXB7,HOXC10,1.71043899121469
AKT1,RAD51,1.71042176418532
HSP90AA1,MAT2A,1.71041637148799
SMAD5,PPP2R2B,1.71041239116426
GLI3,KLHL1,1.71040940744372
TUBA4A,NCALD,1.71040222665699
ALDH3A1,KRT17,1.71040141404827
RPL35A,SEMG2,1.71039355498191
CTCF,POLR2A,1.71037744202163
EFL1,H2BC21,1.71036611423016
EFL1,H2BC9,1.71036611423016
EFL1,H2BC8,1.71036611423016
EFL1,H2BC4,1.71036611423016
EFL1,H2BC17,1.71036611423016
EFL1,H2BC10,1.71036611423016
EFL1,H2BC6,1.71036611423016
EFL1,H2BC7,1.71036611423016
PALS1,NUAK1,1.71036552847596
ATP5PB,STARD7,1.71036487418901
WDR74,BYSL,1.7103549715473
TPK1,STK36,1.71035390728009
ATM,SLC4A10,1.71034677714508
CSTF2,RWDD1,1.71032584585058
COX17,NME1,1.7103201651076
AHCTF1,PNN,1.71031595440831
ZBTB9,CDC25C,1.71030921098874
TAOK1,NSUN3,1.710302637144
DDX3X,COPG2,1.7103025081511
DDX39B,PIAS2,1.71030056451596
RPE,RPS6KB2,1.71029826396309
DLG3,DYRK2,1.71028212021178
DLG4,CDK15,1.7102811598058
SYNCRIP,RPL14,1.71027037928842
H2AC18,TBCK,1.71026726750361
H2AC11,TBCK,1.71026726750361
H2AC8,TBCK,1.71026726750361
H2AC13,TBCK,1.71026726750361
H2AC15,TBCK,1.71026726750361
H2AC16,TBCK,1.71026726750361
H2AC4,TBCK,1.71026726750361
H2AC17,TBCK,1.71026726750361
CLTB,NDUFA12,1.71026131611368
PPM1A,ACVRL1,1.71025857423476
CHRNB4,ATP1A3,1.7102576408602
GLI3,SHH,1.71025314034781
CRK,ELMO3,1.71025218067703
DOCK1,ELMO3,1.71025218067703
RAC1,ELMO3,1.71025218067703
CHEK2,DOHH,1.71024270531444
P3H2,PLOD3,1.71023131905098
PLOD2,P3H2,1.71023131905098
PLOD1,P3H2,1.71023131905098
P4HA3,P3H2,1.71023131905098
ARF1,MPPE1,1.71021938543924
HSP90AA1,RPL7,1.71020697487216
SLC25A4,PSMC2,1.71020385690459
MAP2K2,MAGI2,1.71020295907254
SSR1,SSR3,1.71019970868384
ZBTB33,CCDC59,1.7101987937993
GPC3,NDST3,1.71019853369859
TPK1,RPS6KA4,1.71018093551816
IPO5,H2BC12L,1.7101776358115
SEC63,HSPA12B,1.71016512254404
PSMA7,FAHD1,1.71016158887545
ITGB1,ZNF607,1.71014387513761
CTSD,ANKRD30A,1.7101404039201
RPIA,RPS4X,1.71013555614217
MND1,HORMAD1,1.71013313249251
OLFML3,RPS28,1.71012965217884
RPL24,MAP3K14,1.71012521877095
ERAL1,CCNC,1.71010313196234
NSUN5P2,MARK3,1.71009941325007
OR4F3,OR5T3,1.71007699726533
OR4F3,OR3A2,1.71007699726533
OR4F3,OR3A1,1.71007699726533
OR51V1,OR4F29,1.71007699726533
OR4F3,OR13A1,1.71007699726533
OR4F3,OR3A3,1.71007699726533
OR4X1,OR3A2,1.71007699726533
OR4X1,OR3A3,1.71007699726533
OR5T3,OR4F16,1.71007699726533
OR4K2,OR4F16,1.71007699726533
OR1K1,OR14I1,1.71007699726533
OR14I1,OR4F16,1.71007699726533
OR3A1,OR4F16,1.71007699726533
OR3A2,OR4F16,1.71007699726533
OR13A1,OR4F16,1.71007699726533
OR4F16,OR3A3,1.71007699726533
OR8D1,OR4F16,1.71007699726533
OR51V1,OR4F16,1.71007699726533
OR4F3,OR8D1,1.71007699726533
OR51V1,OR4F21,1.71007699726533
OR51V1,OR2T3,1.71007699726533
OR4F3,OR14I1,1.71007699726533
OR2T3,OR14I1,1.71007699726533
OR2AG1,OR51V1,1.71007699726533
OR10AD1,OR14I1,1.71007699726533
OR4F3,OR4K2,1.71007699726533
OR4F3,OR51V1,1.71007699726533
OR2T34,OR51V1,1.71007699726533
OR2T34,OR14I1,1.71007699726533
MAB21L2,SMAD9,1.7100606269553
NSUN5,MAPK9,1.7100455574484
NSUN5,CDK11B,1.71001995081129
SLC17A2,FABP1,1.70998441271533
RACK1,EIF3C,1.70996691072946
TNFRSF11B,THBS1,1.70996667804682
MTREX,EXOSC4,1.70995871851111
HMGCL,ACACB,1.70995484405553
RPL12,RPS2P45,1.70995482516088
POLDIP2,COQ10B,1.70995455400165
ACTB,RPL18,1.70994609342688
KHDC1,LRRIQ1,1.70993817005754
NKAIN2,PLP1,1.70993756946363
BARHL2,ETV7,1.70990711798848
MBD1,HDAC3,1.70990184717083
RPL15,GSTO1,1.70990169828725
ARHGAP26,RAC2,1.7098941132667
NTRK1,MAGI2,1.70988812326231
ATP6V1D,POLR2F,1.70988242931106
NOTCH1,NLK,1.7098697307184
HDLBP,KMT2D,1.7098681435187
BCL11A,BCL6,1.70986192103405
PAPOLA,NOTCH2,1.70985848046813
DCAF13,XRCC5,1.70983083518975
MCM5,ATP6V1D,1.70983012782407
EDN2,KEL,1.70981392181818
GORASP1,TGFA,1.70980981303934
CCT4,PDCL3,1.70980914321428
KHK,BAIAP2L2,1.70980836662619
CDK2AP2,GLDC,1.70980221842443
LIAS,BCKDHA,1.70979531296429
IRAK3,NSUN5P2,1.70978502318917
NOP56,RPL34,1.70977733470855
ITGA2B,ZNF160,1.70976980834808
RRP15,EIF1AY,1.70976156936136
EIF1AX,RRP15,1.70976156936136
PPP2R2D,SLC30A1,1.70975812609589
ZNF345,ITGA2B,1.70975400090986
VCAN,MCAM,1.70975320482747
PIN1,SMURF1,1.70975243959583
GRB2,ACTG1,1.70974234708117
CTNNB1,PITX2,1.70972835770645
WDR37,DCAF5,1.70972026361237
SIN3A,KRAS,1.70971686343316
DLG1,BMX,1.70969197279715
MRPL39,FN3K,1.70968293420571
MRPL39,FN3KRP,1.70968293420571
ARPC3,GAPDH,1.70967988079015
CCT8,PSMD13,1.70966274605084
PDPK1,NSUN5,1.70965849407409
DLG1,IKBKE,1.70965038274813
TFDP2,CCNE2,1.7096481011878
ARL3,GTPBP3,1.70964567355655
NDUFB10,MCRIP2,1.7096449435242
RAPSN,ANKRD55,1.70963790465596
PTPRD,CDC25C,1.70960638403473
SETD5,BMPR2,1.70959846359453
PPM1E,BMPR1B,1.70959273950257
LYN,SPHK2,1.70959149235689
SGTB,ERO1B,1.70959133349805
DARS1,TFDP3,1.70957478953889
AKT1,NSUN5P2,1.70957165103225
BASP1,RASAL1,1.70956261933091
AFG1L,MRPL11,1.70955657189901
RNASEH2A,DPH6,1.7095356186883
VDAC1,CANX,1.70951496053817
ZBTB9,HRAS,1.709511323824
EZH1,PHC3,1.70950122598017
HSP90AB1,PCYT2,1.70948876001001
DYM,SPAG9,1.70948635732835
ASF1B,RAD51,1.70948291773034
TPK1,IRAK4,1.70945545435237
TPK1,NEK9,1.70945545435237
NET1,PFN4,1.70945199625881
ARF1,PFN4,1.70945199625881
DNAJB1,CCNC,1.70945199625881
BET1,ARF1,1.70945199625881
CSE1L,RANBP1,1.70945199625881
NET1,IGBP1,1.70945199625881
NET1,POMT2,1.70945199625881
CNOT1,PPP2R2C,1.70945199625881
SPRY2,NRG2,1.70943620419245
GRB2,BARHL1,1.70942312414565
NAA20,OSGEP,1.70942207617721
TAF1L,HRAS,1.70941679898026
HNRNPC,TNFRSF1B,1.70941169141734
ANK2,PCSK2,1.70941145978815
NTHL1,PPP2R1B,1.70940706536896
FKBP1A,FOXK2,1.70940706536896
RCC1,DDX6,1.70940706536896
NSUN5P2,TGFBR1,1.70939275646718
UBE2C,MAPK13,1.70939029673395
RIOK3,NEMF,1.70938953975639
RASGRP3,PER1,1.70938234560159
MTCH2,RGS13,1.70937843251585
NUDT3,TAGLN2,1.70937632817196
ERBB4,TLE2,1.7093758704162
RPL35,COX6A1,1.70936006463249
EIF1B,RPS4Y1,1.70935828338546
EP300,BMP4,1.7093350327842
RPL31,TRMT1L,1.70932838378826
SRGAP2,DISC1,1.70931344921747
SNCA,UBB,1.70930610427957
CHN1,PTBP3,1.70929698671414
AAR2,LRRN3,1.70929187732172
RPL13A,RFC3,1.70928870207832
RBCK1,NUP153,1.70928778270459
PLK1,CSNK1G1,1.70927679380296
FLVCR2,RPL31,1.7092668196128
ELN,BCL11B,1.70926512724658
MYO1E,AIMP1,1.70924326999293
HYKK,ETNPPL,1.70924274594945
EEF1A1,GTPBP4,1.70922698518977
TPT1P8,RPS21,1.70922338457894
PALS1,CAMK2B,1.70921742772617
RPL7,H2AC16,1.70921590778208
RPL7,H2AC4,1.70921590778208
RPL7,H2AC15,1.70921590778208
RPL7,H2AC13,1.70921590778208
H2AC8,RPL7,1.70921590778208
RPL7,H2AC11,1.70921590778208
RPL7,H2AC18,1.70921590778208
RPL7,H2AC17,1.70921590778208
DLG1,PRKX,1.70921578219927
ERBB3,DLL4,1.70921536568659
PCYT1A,C1QBP,1.70920527092167
EIF4A1,TFDP3,1.70919456416145
RPL6,POLR1B,1.70918226127155
ITGB7,ARHGAP5,1.70917973352085
IL1B,TNFAIP6,1.70916575768145
CYB5R2,BRIX1,1.7091626978356
BRIX1,FAHD1,1.7091626978356
MID1,BTNL8,1.70915823593237
MID2,BTNL8,1.70915823593237
PSMD11,TPR,1.70915813727978
ERCC4,H2BC13,1.70915033021136
BLOC1S6,BLOC1S4,1.70914412534149
ASF1B,TK1,1.70914381297613
EEF1D,KARS1,1.70914046413845
ANKRD22,NFKBIB,1.70913683373955
NUDT6,AGAP2,1.70910255818885
EXOC4,RPLP0,1.70908520720807
SLC25A5,SNU13,1.70908487342281
GABARAP,ACER3,1.70907474525886
ARHGAP30,CST7,1.70905958602497
CBX7,SALL1,1.7090552044861
CTNNB1,DLG2,1.70905197826635
DNMT3B,HDGFL3,1.70905033157387
DNMT3B,HDGF,1.70905033157387
H2AC21,RFC4,1.70902972210338
PALS1,PRP4K,1.7090018000245
APLP2,MAPK8IP1,1.70898362767388
HAPSTR1,XYLT1,1.70898077705286
LILRB3,ITGB2,1.70898059617244
DLG1,TLK1,1.70897046935456
LSG1,RPS3,1.70895852205862
PRDX5,GATD3,1.70894986255267
ATOH7,SHH,1.70894701804003
DKC1,RHOB,1.70894511070451
DLG4,CILK1,1.70893272737639
EXOSC1,MTMR3,1.70893056251567
MET,SNX2,1.70891425181761
GLI1,PTCH2,1.70890867785076
IKZF5,FGF16,1.70890212296346
CSF1R,A2M,1.70889990326025
DOK1,PTCH2,1.70888653530866
ZFP3,ZNF195,1.70888407207177
DHX15,RPL7,1.70888285410543
TTC1,STX16,1.70887936707744
SLC29A1,H2AC16,1.70887471251115
SLC29A1,H2AC13,1.70887471251115
SLC29A1,H2AC15,1.70887471251115
SLC29A1,H2AC11,1.70887471251115
SLC29A1,H2AC25,1.70887471251115
SLC29A1,H2AC17,1.70887471251115
PAK1,CCNC,1.70887354204968
ZFAND2B,RAB24,1.70887298906721
RPL13,RPS6KA1,1.70886934375498
MAB21L1,TAS2R13,1.70885955522694
FARSB,RPL10L,1.70884777541827
FARSB,RPL10,1.70884777541827
UQCR11,PAEP,1.70884685661943
MED8,MED26,1.70884614686885
GNB1L,ELP2,1.70880750668065
SRP14,UBA52,1.70879143448388
SEC11A,RETREG1,1.70878180451934
RPL12,H2AC14,1.70878131196013
NOP2,BRSK1,1.70877728166695
CYBB,FCGR1A,1.7087749430743
FAM131C,ANXA8,1.70876824840737
EMX2,DEK,1.70875362262974
POLR3C,NOC4L,1.70874628013698
ITIH3,PIPOX,1.70874377962143
LYN,PRKCD,1.70873199881117
AMT,HSPD1,1.70873199283625
CEBPE,KRAS,1.70872521232314
HMGB2,HOXA7,1.70871956034792
EEF1B2,HSPA5,1.70871874556573
DLG1,STK17B,1.70871051885805
SUMF1,ARSA,1.70870905272039
SMARCA4,BYSL,1.70870742695383
SMARCA2,BYSL,1.70870742695383
PLRG1,SART1,1.70870742695383
WDR36,SART1,1.70870742695383
NOP56,SMARCA4,1.70870742695383
NOP56,SMARCA2,1.70870742695383
NRAS,TFDP2,1.70870558246489
PHC1,NR1D2,1.70870430951082
KPNA4,NOMO3,1.70870292591503
NOMO2,HDLBP,1.70868827343217
DEPTOR,RAPGEF5,1.70868798199149
FCGR1A,CD14,1.70865877199386
PXK,INF2,1.70865493577985
KPNA5,RANGAP1,1.70864609544225
KPNA6,RANGAP1,1.70864609544225
NSUN3,AURKB,1.70864183126353
JAK2,PALS1,1.70863451555795
ZWINT,TK1,1.70863082286301
FYB1,MAP3K6,1.70862945039573
NECAP1,RPL14,1.70858868234637
NSUN5P2,RPE,1.70857599633205
H2AC12,ACTR8,1.70857288751943
EIF4E,CBS,1.70857020214571
MAP3K11,RAC2,1.70856718864679
CTSL,PHGDH,1.70856662190953
SERPINB6,BTF3,1.7085653282631
EBF1,PICALM,1.70854541391182
AIF1,LGALS9,1.70852003618202
PRKACA,SLC4A4,1.70851947169016
PARP1,PARP8,1.70851285648959
PARP1,PARP16,1.70851285648959
NSUN5P2,MASTL,1.70850252415299
ACACB,ME1,1.70849041732326
ACTG2,TUBA3C,1.70848022848884
ACTA2,TUBA3C,1.70848022848884
CRYAB,MRAS,1.70846668608446
SMAD3,HGS,1.70846164379315
HPD,GTF2H5,1.70845712831535
GNAQ,DGKZ,1.70845588430982
POLR1H,UTP4,1.70842357865669
MTREX,NOC2L,1.70841624699181
YBEY,NIF3L1,1.70841546652365
