ncRNA_Name,ncRNA_Type,Drug_Name,DrugBank_ID,CID,miRNA_ID,Drug_ID,Pair_ID,PairEvidenceCount
hsa-let-7i-5p,miRNA,PLATINUM,DB12257,23939,7,188,7_188,1
hsa-let-7i-5p,miRNA,CISPLATIN,DB00515,5460033,7,103,7_103,1
hsa-let-7i-5p,miRNA,DABRAFENIB,DB08912,44462760,7,142,7_142,1
hsa-let-7i-5p,miRNA,VEMURAFENIB,DB08881,42611257,7,148,7_148,1
hsa-let-7i-5p,miRNA,PACLITAXEL,DB01229,36314,7,67,7_67,1
hsa-let-7i-5p,miRNA,GEMCITABINE,DB00441,60750,7,55,7_55,1
hsa-let-7i-5p,miRNA,IMATINIB,DB00619,5291,7,41,7_41,1
hsa-let-7i-5p,miRNA,ERLOTINIB,DB00530,176870,7,85,7_85,1
hsa-let-7i-5p,miRNA,GEFITINIB,DB00317,123631,7,84,7_84,1
hsa-let-7i-5p,miRNA,OXALIPLATIN,DB00526,6857599,7,204,7_204,1
hsa-mir-1-3p,miRNA,DOXORUBICIN,DB00997,31703,8,89,8_89,1
hsa-mir-1-3p,miRNA,VERAPAMIL,DB00661,2520,8,21,8_21,1
hsa-mir-1-3p,miRNA,IMATINIB,DB00619,5291,8,41,8_41,1
hsa-mir-1-3p,miRNA,CYCLOPAMINE,,442972,8,102,8_102,1
hsa-mir-1-3p,miRNA,PACLITAXEL,DB01229,36314,8,67,8_67,1
hsa-mir-1-3p,miRNA,OXALIPLATIN,DB00526,6857599,8,204,8_204,1
hsa-mir-1-3p,miRNA,CISPLATIN,DB00515,5460033,8,103,8_103,1
hsa-mir-1-3p,miRNA,MITOXANTRONE,DB01204,4212,8,22,8_22,1
hsa-mir-1-3p,miRNA,GEMCITABINE,DB00441,60750,8,55,8_55,1
hsa-mir-1-3p,miRNA,GEFITINIB,DB00317,123631,8,84,8_84,1
hsa-mir-1-3p,miRNA,CYFLUMETOFEN,,11496052,8,57,8_57,1
hsa-mir-1-3p,miRNA,FULVESTRANT,DB00947,17756771,8,134,8_134,1
hsa-mir-1-3p,miRNA,VINCRISTINE,DB00541,5978,8,177,8_177,1
hsa-mir-1-3p,miRNA,VEMURAFENIB,DB08881,42611257,8,148,8_148,1
hsa-mir-1-3p,miRNA,BROMOCRIPTINE,DB01200,31101,8,86,8_86,1
hsa-mir-1-3p,miRNA,SORAFENIB,DB00398,216239,8,74,8_74,1
hsa-mir-1-3p,miRNA,ETOPOSIDE,DB00773,36462,8,68,8_68,1
hsa-mir-1-3p,miRNA,VINORELBINE,DB00361,44424639,8,150,8_150,1
hsa-mir-100-5p,miRNA,DOXORUBICIN,DB00997,31703,9,89,9_89,1
hsa-mir-100-5p,miRNA,CISPLATIN,DB00515,5460033,9,103,9_103,1
hsa-mir-100-5p,miRNA,VERAPAMIL,DB00661,2520,9,21,9_21,1
hsa-mir-100-5p,miRNA,SORAFENIB,DB00398,216239,9,74,9_74,1
hsa-mir-100-5p,miRNA,PACLITAXEL,DB01229,36314,9,67,9_67,1
hsa-mir-100-5p,miRNA,VINCRISTINE,DB00541,5978,9,177,9_177,1
hsa-mir-100-5p,miRNA,DAUNORUBICIN,DB00694,30323,9,88,9_88,1
hsa-mir-100-5p,miRNA,PREDNISOLONE,DB00860,5755,9,44,9_44,1
hsa-mir-100-5p,miRNA,DOCETAXEL,DB01248,148124,9,3,9_3,1
hsa-mir-100-5p,miRNA,TAMOXIFEN,DB00675,2733525,9,123,9_123,1
hsa-mir-100-5p,miRNA,GEMCITABINE,DB00441,60750,9,55,9_55,1
hsa-mir-100-5p,miRNA,OXALIPLATIN,DB00526,6857599,9,204,9_204,1
hsa-mir-100-5p,miRNA,ETOPOSIDE,DB00773,36462,9,68,9_68,1
hsa-mir-100-5p,miRNA,GEFITINIB,DB00317,123631,9,84,9_84,1
hsa-mir-100-5p,miRNA,DEXAMETHASONE,DB01234,5743,9,43,9_43,1
hsa-mir-100-5p,miRNA,PLX-4720,DB06999,24180719,9,146,9_146,1
hsa-mir-100-5p,miRNA,PLATINUM,DB12257,23939,9,188,9_188,1
hsa-mir-100-5p,miRNA,MITOXANTRONE,DB01204,4212,9,22,9_22,1
hsa-mir-100-5p,miRNA,VEMURAFENIB,DB08881,42611257,9,148,9_148,1
hsa-mir-100-5p,miRNA,DABRAFENIB,DB08912,44462760,9,142,9_142,1
hsa-mir-100-5p,miRNA,TRAMETINIB,DB08911,11707110,9,101,9_101,1
hsa-mir-100-5p,miRNA,CRIZOTINIB,DB08865,11626560,9,197,9_197,1
hsa-mir-100-5p,miRNA,LORLATINIB,DB12130,71731823,9,167,9_167,1
hsa-mir-100-5p,miRNA,FULVESTRANT,DB00947,17756771,9,134,9_134,1
hsa-mir-100-5p,miRNA,FLUOROURACIL,DB00544,3385,9,7,9_7,1
hsa-mir-100-5p,miRNA,BROMOCRIPTINE,DB01200,31101,9,86,9_86,1
hsa-mir-100-5p,miRNA,METHOTREXATE,DB00563,126941,9,81,9_81,1
hsa-mir-100-5p,miRNA,RUXOLITINIB,DB08877,25126798,9,144,9_144,1
hsa-mir-100-5p,miRNA,VINORELBINE,DB00361,44424639,9,150,9_150,1
hsa-mir-101-3p,miRNA,NAVITOCLAX,DB12340,24978538,10,209,10_209,1
hsa-mir-101-3p,miRNA,DOCETAXEL,DB01248,148124,10,3,10_3,1
hsa-mir-101-3p,miRNA,CISPLATIN,DB00515,5460033,10,103,10_103,1
hsa-mir-101-3p,miRNA,DOXORUBICIN,DB00997,31703,10,89,10_89,1
hsa-mir-101-3p,miRNA,FLUOROURACIL,DB00544,3385,10,7,10_7,1
hsa-mir-101-3p,miRNA,PACLITAXEL,DB01229,36314,10,67,10_67,1
hsa-mir-101-3p,miRNA,SIROLIMUS,DB00877,5284616,10,114,10_114,1
hsa-mir-101-3p,miRNA,GEMCITABINE,DB00441,60750,10,55,10_55,1
hsa-mir-101-3p,miRNA,BORTEZOMIB,DB00188,387447,10,17,10_17,1
hsa-mir-101-3p,miRNA,TAMOXIFEN,DB00675,2733525,10,123,10_123,1
hsa-mir-101-3p,miRNA,PLATINUM,DB12257,23939,10,188,10_188,1
hsa-mir-101-3p,miRNA,VINCRISTINE,DB00541,5978,10,177,10_177,1
hsa-mir-101-3p,miRNA,SORAFENIB,DB00398,216239,10,74,10_74,1
hsa-mir-101-3p,miRNA,IMATINIB,DB00619,5291,10,41,10_41,1
hsa-mir-101-3p,miRNA,TEMOZOLOMIDE,DB00853,5394,10,174,10_174,1
hsa-mir-101-3p,miRNA,AZACITIDINE,DB00928,9444,10,179,10_179,1
hsa-mir-101-3p,miRNA,MITOXANTRONE,DB01204,4212,10,22,10_22,1
hsa-mir-101-3p,miRNA,OXALIPLATIN,DB00526,6857599,10,204,10_204,1
hsa-mir-101-3p,miRNA,GEFITINIB,DB00317,123631,10,84,10_84,1
hsa-mir-103a-3p,miRNA,DOXORUBICIN,DB00997,31703,11,89,11_89,1
