ncRNA_Name,ncRNA_Type,Drug_Name,DrugBank_ID,CID
HSA-LET-7D,miRNA,PACLITAXEL,DB01229,36314
HSA-LET-7D,miRNA,OXALIPLATIN,DB00526,6857599
HSA-LET-7D,miRNA,FLUOROURACIL,DB00544,3385
HSA-LET-7D,miRNA,MITOXANTRONE,DB01204,4212
HSA-LET-7D,miRNA,GEFITINIB,DB00317,123631
HSA-LET-7D,miRNA,FULVESTRANT,DB00947,17756771
HSA-LET-7D,miRNA,TAMOXIFEN,DB00675,2733525
HSA-LET-7D,miRNA,DABRAFENIB,DB08912,44462760
HSA-LET-7D,miRNA,OSIMERTINIB,DB09330,71496458
HSA-LET-7D-3P,miRNA,PAROXETINE,DB00715,43815
HSA-LET-7D-3P,miRNA,BORTEZOMIB,DB00188,387447
HSA-LET-7D-3P,miRNA,CISPLATIN,DB00515,5460033
HSA-LET-7D-3P,miRNA,DABRAFENIB,DB08912,44462760
HSA-LET-7D-3P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-LET-7D-3P,miRNA,GEMCITABINE,DB00441,60750
HSA-LET-7D-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-LET-7D-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-LET-7D-5P,miRNA,PLATINUM,DB12257,23939
HSA-LET-7D-5P,miRNA,IMATINIB,DB00619,5291
HSA-LET-7D-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-LET-7D-5P,miRNA,TRAMETINIB,DB08911,11707110
HSA-LET-7D-5P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-LET-7D-5P,miRNA,TIVANTINIB,DB12200,11494412
HSA-LET-7D-V2,miRNA,OXALIPLATIN,DB00526,6857599
HSA-LET-7E,miRNA,CISPLATIN,DB00515,5460033
HSA-LET-7E,miRNA,DOXORUBICIN,DB00997,31703
HSA-LET-7E,miRNA,VERAPAMIL,DB00661,2520
HSA-LET-7E,miRNA,FLUOROURACIL,DB00544,3385
HSA-LET-7E,miRNA,OXALIPLATIN,DB00526,6857599
HSA-LET-7E,miRNA,PACLITAXEL,DB01229,36314
HSA-LET-7E,miRNA,VINCRISTINE,DB00541,5978
HSA-LET-7E,miRNA,GEFITINIB,DB00317,123631
HSA-LET-7E,miRNA,IMATINIB,DB00619,5291
HSA-LET-7E,miRNA,PLX-4720,DB06999,24180719
HSA-LET-7E,miRNA,DAUNORUBICIN,DB00694,30323
HSA-LET-7E,miRNA,TAMOXIFEN,DB00675,2733525
HSA-LET-7E,miRNA,FULVESTRANT,DB00947,17756771
HSA-LET-7E,miRNA,VEMURAFENIB,DB08881,42611257
HSA-LET-7E,miRNA,REGORAFENIB,DB08896,11167602
HSA-LET-7E-3P,miRNA,DOXORUBICIN,DB00997,31703
HSA-LET-7E-3P,miRNA,VERAPAMIL,DB00661,2520
HSA-LET-7E-3P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-LET-7E-3P,miRNA,CISPLATIN,DB00515,5460033
HSA-LET-7E-5P,miRNA,PLATINUM,DB12257,23939
HSA-LET-7E-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-LET-7E-5P,miRNA,IMATINIB,DB00619,5291
HSA-LET-7E-5P,miRNA,GEMCITABINE,DB00441,60750
HSA-LET-7E-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-LET-7F-1,miRNA,CISPLATIN,DB00515,5460033
HSA-LET-7F-1,miRNA,TAMOXIFEN,DB00675,2733525
HSA-LET-7F-1,miRNA,DABRAFENIB,DB08912,44462760
HSA-LET-7F-1-3P,miRNA,FLUOROURACIL,DB00544,3385
HSA-LET-7F-1-3P,miRNA,GEMCITABINE,DB00441,60750
HSA-LET-7F-1-3P,miRNA,CISPLATIN,DB00515,5460033
HSA-LET-7F-2,miRNA,DABRAFENIB,DB08912,44462760
HSA-LET-7F-2-3P,miRNA,GEMCITABINE,DB00441,60750
HSA-LET-7F-2-3P,miRNA,CISPLATIN,DB00515,5460033
HSA-LET-7F-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-LET-7F-5P,miRNA,VERAPAMIL,DB00661,2520
HSA-LET-7F-5P,miRNA,GEMCITABINE,DB00441,60750
HSA-LET-7F-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-LET-7F-5P,miRNA,IMATINIB,DB00619,5291
HSA-LET-7F-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-LET-7F-5P,miRNA,PLATINUM,DB12257,23939
HSA-LET-7F-5P,miRNA,FLUOROURACIL,DB00544,3385
HSA-LET-7F-5P,miRNA,AZACITIDINE,DB00928,9444
HSA-LET-7F-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-LET-7F-5P,miRNA,TRAMETINIB,DB08911,11707110
HSA-LET-7F-5P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-LET-7F-5P,miRNA,GEFITINIB,DB00317,123631
HSA-LET-7F-5P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-LET-7F-5P,miRNA,DOCETAXEL,DB01248,148124
HSA-LET-7G,miRNA,DOXORUBICIN,DB00997,31703
HSA-LET-7G,miRNA,VERAPAMIL,DB00661,2520
HSA-LET-7G,miRNA,CISPLATIN,DB00515,5460033
HSA-LET-7G,miRNA,10-HYDROXYCAMPTOTHECIN,DB12385,97226
HSA-LET-7G,miRNA,FLUOROURACIL,DB00544,3385
HSA-LET-7G,miRNA,PACLITAXEL,DB01229,36314
HSA-LET-7G,miRNA,OXALIPLATIN,DB00526,6857599
HSA-LET-7G,miRNA,GEFITINIB,DB00317,123631
HSA-LET-7G-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-LET-7G-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-LET-7G-5P,miRNA,PLATINUM,DB12257,23939
HSA-LET-7G-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-LET-7G-5P,miRNA,TRAMETINIB,DB08911,11707110
HSA-LET-7G-5P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-LET-7G-5P,miRNA,TEMOZOLOMIDE,DB00853,5394
HSA-LET-7G-5P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-LET-7G-5P,miRNA,DOCETAXEL,DB01248,148124
HSA-LET-7I,miRNA,DOXORUBICIN,DB00997,31703
HSA-LET-7I,miRNA,CISPLATIN,DB00515,5460033
HSA-LET-7I,miRNA,VERAPAMIL,DB00661,2520
HSA-LET-7I,miRNA,IMATINIB,DB00619,5291
HSA-LET-7I,miRNA,TAMOXIFEN,DB00675,2733525
HSA-LET-7I,miRNA,PACLITAXEL,DB01229,36314
HSA-LET-7I,miRNA,GEMCITABINE,DB00441,60750
HSA-LET-7I,miRNA,OXALIPLATIN,DB00526,6857599
HSA-LET-7I,miRNA,FLUOROURACIL,DB00544,3385
HSA-LET-7I,miRNA,TAXANE,NA,9548828
HSA-LET-7I,miRNA,DABRAFENIB,DB08912,44462760
HSA-LET-7I,miRNA,GEFITINIB,DB00317,123631
HSA-LET-7I,miRNA,OLAPARIB,DB09074,23725625
HSA-LET-7I-3P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-LET-7I-3P,miRNA,CISPLATIN,DB00515,5460033
HSA-LET-7I-3P,miRNA,GEFITINIB,DB00317,123631
HSA-LET-7I-3P,miRNA,GEMCITABINE,DB00441,60750
HSA-LET-7I-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-LET-7I-5P,miRNA,PLATINUM,DB12257,23939
HSA-LET-7I-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-LET-7I-5P,miRNA,DABRAFENIB,DB08912,44462760
HSA-LET-7I-5P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-LET-7I-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-LET-7I-5P,miRNA,GEMCITABINE,DB00441,60750
HSA-LET-7I-5P,miRNA,IMATINIB,DB00619,5291
HSA-LET-7I-5P,miRNA,ERLOTINIB,DB00530,176870
HSA-LET-7I-5P,miRNA,GEFITINIB,DB00317,123631
HSA-LET-7I-5P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-010A,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-016B,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-019B,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-020,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-023A,miRNA,CISPLATIN,DB00515,5460033
