ncRNA_Name,ncRNA_Type,Drug_Name,DrugBank_ID,CID
HSA-MIR-188-5P,miRNA,IMATINIB,DB00619,5291
HSA-MIR-188-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-188-5P,miRNA,ETOPOSIDE,DB00773,36462
HSA-MIR-188-5P,miRNA,PLATINUM,DB12257,23939
HSA-MIR-188-5P,miRNA,SORAFENIB,DB00398,216239
HSA-MIR-188-5P,miRNA,DABRAFENIB,DB08912,44462760
HSA-MIR-188-5P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-MIR-18A,miRNA,IMATINIB,DB00619,5291
HSA-MIR-18A-3P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-18A-3P,miRNA,DABRAFENIB,DB08912,44462760
HSA-MIR-18A-3P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-MIR-18A-3P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-18A-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-18A-5P,miRNA,VERAPAMIL,DB00661,2520
HSA-MIR-18A-5P,miRNA,RIBAVIRIN,DB00811,37542
HSA-MIR-18A-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-18A-5P,miRNA,CYCLOPAMINE,NA,442972
HSA-MIR-18A-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-18A-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-18A-5P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-18A-5P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-18A-5P,miRNA,SORAFENIB,DB00398,216239
HSA-MIR-18A-5P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-MIR-18A-5P,miRNA,DABRAFENIB,DB08912,44462760
HSA-MIR-18A-5P,miRNA,SUNITINIB,DB01268,5329102
HSA-MIR-18A-5P,miRNA,FULVESTRANT,DB00947,17756771
HSA-MIR-18A-5P,miRNA,TRAMETINIB,DB08911,11707110
HSA-MIR-18A-5P,miRNA,TIVANTINIB,DB12200,11494412
HSA-MIR-18A-5P,miRNA,DEXAMETHASONE,DB01234,5743
HSA-MIR-18A-5P,miRNA,GEFITINIB,DB00317,123631
HSA-MIR-18B-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-18B-5P,miRNA,IMATINIB,DB00619,5291
HSA-MIR-18B-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-18B-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-18B-5P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-18B-5P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-18B-5P,miRNA,SORAFENIB,DB00398,216239
HSA-MIR-18B-5P,miRNA,DABRAFENIB,DB08912,44462760
HSA-MIR-18B-5P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-MIR-18B-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-18B-5P,miRNA,TRAMETINIB,DB08911,11707110
HSA-MIR-18B-5P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-19,miRNA,ETOPOSIDE,DB00773,36462
HSA-MIR-19,miRNA,MITOXANTRONE,DB01204,4212
HSA-MIR-19,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-19,miRNA,SIROLIMUS,DB00877,5284616
HSA-MIR-1908-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-1908-5P,miRNA,CARBOPLATIN,DB00958,38904
HSA-MIR-1908-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-1908-5P,miRNA,VINCRISTINE,DB00541,5978
HSA-MIR-1908-5P,miRNA,MITOMYCIN C,DB00305,5746
HSA-MIR-1908-5P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-1908-5P,miRNA,VINORELBINE,DB00361,44424639
HSA-MIR-1908-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-1908-5P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-1908-5P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-1908-5P,miRNA,BORTEZOMIB,DB00188,387447
HSA-MIR-1908-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-1908-5P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-MIR-1908-5P,miRNA,DABRAFENIB,DB08912,44462760
HSA-MIR-1908-5P,miRNA,FULVESTRANT,DB00947,17756771
HSA-MIR-1909,miRNA,CERITINIB,DB09063,57379345
HSA-MIR-1909-3P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-1909-3P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-1909-3P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-MIR-1909-3P,miRNA,DABRAFENIB,DB08912,44462760
HSA-MIR-1909-3P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-1909-3P,miRNA,FULVESTRANT,DB00947,17756771
HSA-MIR-1909-3P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-1909-3P,miRNA,CERITINIB,DB09063,57379345
HSA-MIR-1909-3P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-1909-5P,miRNA,CERITINIB,DB09063,57379345
HSA-MIR-190A,miRNA,CERITINIB,DB09063,57379345
HSA-MIR-190A-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-190A-5P,miRNA,VERAPAMIL,DB00661,2520
HSA-MIR-190A-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-190A-5P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-190A-5P,miRNA,VINCRISTINE,DB00541,5978
HSA-MIR-190A-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-190A-5P,miRNA,IMATINIB,DB00619,5291
HSA-MIR-190A-5P,miRNA,CERITINIB,DB09063,57379345
HSA-MIR-190A-5P,miRNA,SUNITINIB,DB01268,5329102
HSA-MIR-190A-5P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-190B-5P,miRNA,DOCETAXEL,DB01248,148124
HSA-MIR-190B-5P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-190B-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-191,miRNA,CERITINIB,DB09063,57379345
HSA-MIR-191-3P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-191-3P,miRNA,PREDNISONE,DB00635,5865
HSA-MIR-191-3P,miRNA,VINCRISTINE,DB00541,5978
HSA-MIR-191-3P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-191-3P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-191-3P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-191-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-191-5P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-191-5P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-191-5P,miRNA,DOCETAXEL,DB01248,148124
HSA-MIR-191-5P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-191-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-191-5P,miRNA,DEXAMETHASONE,DB01234,5743
HSA-MIR-191-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-191-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-191-5P,miRNA,FULVESTRANT,DB00947,17756771
HSA-MIR-191-5P,miRNA,CERITINIB,DB09063,57379345
HSA-MIR-191-5P,miRNA,PANOBINOSTAT,DB06603,6918837
HSA-MIR-191-5P,miRNA,BORTEZOMIB,DB00188,387447
HSA-MIR-1910,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-1910,miRNA,CERITINIB,DB09063,57379345
HSA-MIR-1910-3P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-1910-5P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-1910-5P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-MIR-1910-5P,miRNA,DABRAFENIB,DB08912,44462760
HSA-MIR-1910-5P,miRNA,CURCUMIN,DB11672,969516
HSA-MIR-1910-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-1910-5P,miRNA,PONATINIB,DB08901,24826799
HSA-MIR-1910-5P,miRNA,IMATINIB,DB00619,5291
HSA-MIR-1910-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-1910-5P,miRNA,CERITINIB,DB09063,57379345
HSA-MIR-1910-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-1911-3P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-1911-3P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-1911-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-1913,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-1913,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-1913,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-1913,miRNA,CERITINIB,DB09063,57379345
HSA-MIR-1914-3P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-1914-3P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-1914-3P,miRNA,PLATINUM,DB12257,23939
HSA-MIR-1914-3P,miRNA,SORAFENIB,DB00398,216239
HSA-MIR-1914-3P,miRNA,CAPECITABINE,DB01101,60953
HSA-MIR-1914-3P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-1914-5P,miRNA,FULVESTRANT,DB00947,17756771
HSA-MIR-1914-5P,miRNA,TRAMETINIB,DB08911,11707110
HSA-MIR-1914-5P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-MIR-1914-5P,miRNA,SORAFENIB,DB00398,216239
HSA-MIR-1915-3P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-1915-3P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-1915-3P,miRNA,VINCRISTINE,DB00541,5978
HSA-MIR-1915-3P,miRNA,MITOMYCIN C,DB00305,5746
HSA-MIR-1915-3P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-1915-3P,miRNA,CARBOPLATIN,DB00958,38904
HSA-MIR-1915-3P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-1915-3P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-1915-3P,miRNA,BORTEZOMIB,DB00188,387447
HSA-MIR-1915-3P,miRNA,IMATINIB,DB00619,5291
HSA-MIR-1915-3P,miRNA,PLATINUM,DB12257,23939
HSA-MIR-1915-3P,miRNA,CAPECITABINE,DB01101,60953
HSA-MIR-1915-3P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-MIR-1915-3P,miRNA,DABRAFENIB,DB08912,44462760
HSA-MIR-1915-3P,miRNA,CURCUMIN,DB11672,969516
HSA-MIR-1915-3P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-1915-3P,miRNA,FULVESTRANT,DB00947,17756771
HSA-MIR-1915-3P,miRNA,TRAMETINIB,DB08911,11707110
HSA-MIR-1915-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-191A-5P,miRNA,PREDNISONE,DB00635,5865
HSA-MIR-192,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-192,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-192,miRNA,CERITINIB,DB09063,57379345
HSA-MIR-192-3P,miRNA,VERAPAMIL,DB00661,2520
HSA-MIR-192-3P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-192-3P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-192-3P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-192-3P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-192-3P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-192-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-192-5P,miRNA,DOCETAXEL,DB01248,148124
HSA-MIR-192-5P,miRNA,SORAFENIB,DB00398,216239
HSA-MIR-192-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-192-5P,miRNA,PAROXETINE,DB00715,43815
HSA-MIR-192-5P,miRNA,SUNITINIB,DB01268,5329102
HSA-MIR-192-5P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-192-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-192-5P,miRNA,BORTEZOMIB,DB00188,387447
HSA-MIR-192-5P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-192-5P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-192-5P,miRNA,PLX-4720,DB06999,24180719
HSA-MIR-192-5P,miRNA,IMATINIB,DB00619,5291
HSA-MIR-192-5P,miRNA,DABRAFENIB,DB08912,44462760
HSA-MIR-192-5P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-MIR-192-5P,miRNA,ETOPOSIDE,DB00773,36462
HSA-MIR-192-5P,miRNA,CERITINIB,DB09063,57379345
HSA-MIR-192-5P,miRNA,PANOBINOSTAT,DB06603,6918837
HSA-MIR-192-5P,miRNA,TRAMETINIB,DB08911,11707110
HSA-MIR-192-5P,miRNA,GEFITINIB,DB00317,123631
HSA-MIR-192-5P,miRNA,CURCUMIN,DB11672,969516
HSA-MIR-192-5P,miRNA,METHOTREXATE,DB00563,126941
HSA-MIR-192-5P,miRNA,VINORELBINE,DB00361,44424639
HSA-MIR-192-5P,miRNA,VINCRISTINE,DB00541,5978
HSA-MIR-192-5P,miRNA,PLATINUM,DB12257,23939
HSA-MIR-193-3P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-193-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-193A,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-193A,miRNA,CERITINIB,DB09063,57379345
HSA-MIR-193A,miRNA,SORAFENIB,DB00398,216239
HSA-MIR-193A-3P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-193A-3P,miRNA,VERAPAMIL,DB00661,2520
HSA-MIR-193A-3P,miRNA,TEMOZOLOMIDE,DB00853,5394
HSA-MIR-193A-3P,miRNA,NAVITOCLAX,DB12340,24978538
HSA-MIR-193A-3P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-193A-3P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-193A-3P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-193A-3P,miRNA,PAROXETINE,DB00715,43815
HSA-MIR-193A-3P,miRNA,SUNITINIB,DB01268,5329102
HSA-MIR-193A-3P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-193A-3P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-193A-3P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-193A-3P,miRNA,EPIRUBICIN HYDROCHLORIDE,NA,65348
HSA-MIR-193A-3P,miRNA,PIRARUBICIN,DB11616,11296583
HSA-MIR-193A-3P,miRNA,PLATINUM,DB12257,23939
HSA-MIR-193A-3P,miRNA,DOCETAXEL,DB01248,148124
HSA-MIR-193A-3P,miRNA,VINORELBINE,DB00361,44424639
HSA-MIR-193A-3P,miRNA,DABRAFENIB,DB08912,44462760
HSA-MIR-193A-3P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-MIR-193A-3P,miRNA,CERITINIB,DB09063,57379345
HSA-MIR-193A-3P,miRNA,GEFITINIB,DB00317,123631
HSA-MIR-193A-3P,miRNA,YUANHUADINE,NA,6440572
HSA-MIR-193A-3P,miRNA,IMATINIB,DB00619,5291
HSA-MIR-193A-3P,miRNA,4-ACETYLANTROQUINONOL B,NA,112500518
HSA-MIR-193A-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-193A-5P,miRNA,PLATINUM,DB12257,23939
HSA-MIR-193A-5P,miRNA,DABRAFENIB,DB08912,44462760
HSA-MIR-193A-5P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-MIR-193A-5P,miRNA,TEMOZOLOMIDE,DB00853,5394
HSA-MIR-193A-5P,miRNA,DOCETAXEL,DB01248,148124
HSA-MIR-193A-5P,miRNA,CERITINIB,DB09063,57379345
HSA-MIR-193A-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-193A-5P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-193A-5P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-193A-5P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-193A-5P,miRNA,ESTRADIOL,DB00783,5757
HSA-MIR-193A-P,miRNA,FULVESTRANT,DB00947,17756771
HSA-MIR-193B,miRNA,CERITINIB,DB09063,57379345
HSA-MIR-193B-3P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-193B-3P,miRNA,SORAFENIB,DB00398,216239
HSA-MIR-193B-3P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-193B-3P,miRNA,METHOTREXATE,DB00563,126941
HSA-MIR-193B-3P,miRNA,ABT-737,DB17023,11228183
HSA-MIR-193B-3P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-193B-3P,miRNA,CARBOPLATIN,DB00958,38904
HSA-MIR-193B-3P,miRNA,CYCLOPAMINE,NA,442972
HSA-MIR-193B-3P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-193B-3P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-193B-3P,miRNA,IMATINIB,DB00619,5291
HSA-MIR-193B-3P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-193B-3P,miRNA,DOCETAXEL,DB01248,148124
HSA-MIR-193B-3P,miRNA,PLATINUM,DB12257,23939
HSA-MIR-193B-3P,miRNA,PLX-4720,DB06999,24180719
HSA-MIR-193B-3P,miRNA,CERITINIB,DB09063,57379345
HSA-MIR-193B-3P,miRNA,TEMOZOLOMIDE,DB00853,5394
HSA-MIR-193B-3P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-193B-3P,miRNA,GEFITINIB,DB00317,123631
HSA-MIR-193B-5P,miRNA,TEMOZOLOMIDE,DB00853,5394
HSA-MIR-193B-5P,miRNA,CARBOPLATIN,DB00958,38904
HSA-MIR-193B-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-193B-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-193B-5P,miRNA,VINCRISTINE,DB00541,5978
HSA-MIR-193B-5P,miRNA,MITOMYCIN C,DB00305,5746
HSA-MIR-193B-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-193B-5P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-193B-5P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-193B-5P,miRNA,CERITINIB,DB09063,57379345
HSA-MIR-193B-5P,miRNA,CYCLOPHOSPHAMIDE,DB00531,2907
HSA-MIR-194-1,miRNA,CERITINIB,DB09063,57379345
HSA-MIR-194-3P,miRNA,CERITINIB,DB09063,57379345
HSA-MIR-194-3P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-194-3P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-194-3P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-194-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-194-5P,miRNA,DOCETAXEL,DB01248,148124
HSA-MIR-194-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-194-5P,miRNA,PAROXETINE,DB00715,43815
HSA-MIR-194-5P,miRNA,CARBOPLATIN,DB00958,38904
HSA-MIR-194-5P,miRNA,VINCRISTINE,DB00541,5978
HSA-MIR-194-5P,miRNA,MITOMYCIN C,DB00305,5746
HSA-MIR-194-5P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-194-5P,miRNA,EPIRUBICIN,DB00445,41867
HSA-MIR-194-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-194-5P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-194-5P,miRNA,DABRAFENIB,DB08912,44462760
HSA-MIR-194-5P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-MIR-194-5P,miRNA,SUNITINIB,DB01268,5329102
HSA-MIR-194-5P,miRNA,CERITINIB,DB09063,57379345
HSA-MIR-194-5P,miRNA,PANOBINOSTAT,DB06603,6918837
HSA-MIR-194-5P,miRNA,TRAMETINIB,DB08911,11707110
HSA-MIR-194-5P,miRNA,GEFITINIB,DB00317,123631
HSA-MIR-194-5P,miRNA,SORAFENIB,DB00398,216239
HSA-MIR-195,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-195-3P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-195-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-195-5P,miRNA,TEMOZOLOMIDE,DB00853,5394
HSA-MIR-195-5P,miRNA,DOCETAXEL,DB01248,148124
HSA-MIR-195-5P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-195-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-195-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-195-5P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-195-5P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-195-5P,miRNA,IMATINIB,DB00619,5291
HSA-MIR-195-5P,miRNA,PREDNISOLONE,DB00860,5755
HSA-MIR-195-5P,miRNA,SORAFENIB,DB00398,216239
HSA-MIR-195-5P,miRNA,PLATINUM,DB12257,23939
HSA-MIR-195-5P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-MIR-195-5P,miRNA,DABRAFENIB,DB08912,44462760
HSA-MIR-195-5P,miRNA,FULVESTRANT,DB00947,17756771
HSA-MIR-195-5P,miRNA,AZACITIDINE,DB00928,9444
HSA-MIR-195-5P,miRNA,ERIBULIN,DB08871,73425383
HSA-MIR-195-5P,miRNA,GEFITINIB,DB00317,123631
HSA-MIR-195-PRE,miRNA,IMATINIB,DB00619,5291
HSA-MIR-195A-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-196,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-196A-2,miRNA,CERITINIB,DB09063,57379345
HSA-MIR-196A-2,miRNA,DABRAFENIB,DB08912,44462760
HSA-MIR-196A-3P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-196A-3P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-196A-3P,miRNA,CERITINIB,DB09063,57379345
HSA-MIR-196A-3P,miRNA,ETOPOSIDE,DB00773,36462
HSA-MIR-196A-3P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-196A-3P,miRNA,VINORELBINE,DB00361,44424639
HSA-MIR-196A-3P,miRNA,VINCRISTINE,DB00541,5978
HSA-MIR-196A-3P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-196A-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-196A-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-196A-5P,miRNA,VERAPAMIL,DB00661,2520
HSA-MIR-196A-5P,miRNA,SORAFENIB,DB00398,216239
HSA-MIR-196A-5P,miRNA,IMATINIB,DB00619,5291
HSA-MIR-196A-5P,miRNA,10-HYDROXYCAMPTOTHECIN,DB12385,97226
HSA-MIR-196A-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-196A-5P,miRNA,FULVESTRANT,DB00947,17756771
HSA-MIR-196A-5P,miRNA,DOCETAXEL,DB01248,148124
HSA-MIR-196A-5P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-196A-5P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-MIR-196A-5P,miRNA,DABRAFENIB,DB08912,44462760
HSA-MIR-196A-5P,miRNA,CERITINIB,DB09063,57379345
HSA-MIR-196A-5P,miRNA,GEFITINIB,DB00317,123631
HSA-MIR-196A-5P,miRNA,YUANHUADINE,NA,6440572
HSA-MIR-196A-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-196A-5P,miRNA,TRAMETINIB,DB08911,11707110
HSA-MIR-196A-5P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-196A1,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-196B,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-196B,miRNA,SORAFENIB,DB00398,216239
HSA-MIR-196B-3P,miRNA,DOCETAXEL,DB01248,148124
HSA-MIR-196B-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-196B-5P,miRNA,VERAPAMIL,DB00661,2520
HSA-MIR-196B-5P,miRNA,10-HYDROXYCAMPTOTHECIN,DB12385,97226
HSA-MIR-196B-5P,miRNA,CAPECITABINE,DB01101,60953
HSA-MIR-196B-5P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-196B-5P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-196B-5P,miRNA,DOCETAXEL,DB01248,148124
HSA-MIR-196B-5P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-196B-5P,miRNA,ETOPOSIDE,DB00773,36462
HSA-MIR-196B-5P,miRNA,SUNITINIB,DB01268,5329102
HSA-MIR-196B-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-196B-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-196B-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-196B-5P,miRNA,TENIPOSIDE,DB00444,452548
HSA-MIR-196B-5P,miRNA,TRAMETINIB,DB08911,11707110
HSA-MIR-196B-5P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-MIR-196B-5P,miRNA,TEMOZOLOMIDE,DB00853,5394
HSA-MIR-196B-5P,miRNA,DABRAFENIB,DB08912,44462760
HSA-MIR-197,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-197-3P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-197-3P,miRNA,ETOPOSIDE,DB00773,36462
HSA-MIR-197-3P,miRNA,DOCETAXEL,DB01248,148124
HSA-MIR-197-3P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-197-3P,miRNA,ERLOTINIB,DB00530,176870
HSA-MIR-197-3P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-197-3P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-197-3P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-197-3P,miRNA,VINCRISTINE,DB00541,5978
HSA-MIR-197-3P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-197-3P,miRNA,VINORELBINE,DB00361,44424639
HSA-MIR-197-3P,miRNA,TAXOL,DB01229,36314
HSA-MIR-197-3P,miRNA,PLATINUM,DB12257,23939
HSA-MIR-197-3P,miRNA,MITOXANTRONE,DB01204,4212
HSA-MIR-197-3P,miRNA,EPIRUBICIN,DB00445,41867
HSA-MIR-197-3P,miRNA,SUNITINIB,DB01268,5329102
HSA-MIR-197-3P,miRNA,TRAMETINIB,DB08911,11707110
HSA-MIR-197-3P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-MIR-197-3P,miRNA,GEFITINIB,DB00317,123631
HSA-MIR-197-3P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-197-3P,miRNA,DABRAFENIB,DB08912,44462760
HSA-MIR-197-3P,miRNA,CELASTROL,NA,12302620
HSA-MIR-197-3P,miRNA,BORTEZOMIB,DB00188,387447
HSA-MIR-197-5P,miRNA,PLATINUM,DB12257,23939
HSA-MIR-197-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-197-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-1972,miRNA,FLUOROURACIL,DB00544,3385
